[0] x: 0	 y: (0, 0)
[1] x: 19	 y: (16, 20)
[2] x: 20	 y: (17, 21)
[3] x: 21	 y: (18, 22)
[4] x: 22	 y: (19, 23)
[5] x: 23	 y: (20, 24)
[6] x: 24	 y: (21, 25)
[7] x: 25	 y: (21, 26)
[8] x: 26	 y: (22, 27)
[9] x: 27	 y: (22, 28)
[10] x: 28	 y: (23, 29)
[11] x: 29	 y: (24, 30)
[12] x: 30	 y: (24, 31)
[13] x: 31	 y: (24, 32)
[14] x: 32	 y: (25, 33)
[15] x: 33	 y: (26, 34)
[16] x: 34	 y: (27, 35)
[17] x: 35	 y: (27, 36)
[18] x: 36	 y: (27, 37)
[19] x: 37	 y: (28, 38)
[20] x: 38	 y: (29, 38)
[21] x: 39	 y: (29, 39)
[22] x: 40	 y: (30, 40)
[23] x: 41	 y: (31, 40)
[24] x: 42	 y: (30, 41)
[25] x: 43	 y: (31, 41)
[26] x: 44	 y: (32, 43)
[27] x: 45	 y: (32, 43)
[28] x: 46	 y: (33, 43)
[29] x: 47	 y: (34, 44)
[30] x: 48	 y: (34, 44)
[31] x: 49	 y: (35, 45)
[32] x: 50	 y: (34, 45)
[33] x: 51	 y: (35, 46)
[34] x: 52	 y: (36, 47)
[35] x: 53	 y: (35, 48)
[36] x: 54	 y: (36, 48)
[37] x: 55	 y: (36, 49)
[38] x: 56	 y: (37, 49)
[39] x: 57	 y: (38, 49)
[40] x: 58	 y: (38, 50)
[41] x: 59	 y: (39, 50)
[42] x: 60	 y: (40, 51)
[43] x: 61	 y: (41, 51)
[44] x: 62	 y: (42, 51)
[45] x: 63	 y: (42, 51)
[46] x: 64	 y: (43, 51)
[47] x: 65	 y: (44, 52)
[48] x: 66	 y: (45, 52)
[49] x: 67	 y: (46, 52)
[50] x: 68	 y: (46, 52)
[51] x: 69	 y: (47, 53)
[52] x: 70	 y: (43, 54)
[53] x: 71	 y: (44, 54)
[54] x: 72	 y: (44, 55)
[55] x: 73	 y: (45, 56)
[56] x: 74	 y: (46, 58)
[57] x: 75	 y: (47, 60)
[58] x: 76	 y: (48, 60)
[59] x: 77	 y: (49, 60)
[60] x: 78	 y: (50, 61)
[61] x: 79	 y: (51, 62)
[62] x: 80	 y: (52, 62)
[63] x: 81	 y: (52, 63)
[64] x: 82	 y: (53, 63)
[65] x: 83	 y: (53, 63)
[66] x: 84	 y: (54, 64)
[67] x: 85	 y: (55, 64)
[68] x: 86	 y: (55, 65)
[69] x: 87	 y: (56, 65)
[70] x: 88	 y: (57, 66)
[71] x: 89	 y: (58, 66)
[72] x: 90	 y: (59, 67)
[73] x: 91	 y: (58, 67)
[74] x: 92	 y: (57, 68)
[75] x: 93	 y: (58, 69)
[76] x: 94	 y: (59, 69)
[77] x: 95	 y: (59, 69)
[78] x: 96	 y: (60, 70)
[79] x: 97	 y: (61, 70)
[80] x: 98	 y: (61, 71)
[81] x: 99	 y: (62, 71)
[82] x: 100	 y: (62, 72)
[83] x: 101	 y: (62, 73)
[84] x: 102	 y: (62, 73)
[85] x: 103	 y: (62, 74)
[86] x: 104	 y: (63, 75)
[87] x: 105	 y: (63, 76)
[88] x: 106	 y: (64, 76)
[89] x: 107	 y: (65, 77)
[90] x: 108	 y: (65, 77)
[91] x: 109	 y: (66, 77)
[92] x: 110	 y: (67, 78)
[93] x: 111	 y: (68, 78)
[94] x: 112	 y: (68, 78)
[95] x: 113	 y: (69, 79)
[96] x: 114	 y: (70, 79)
[97] x: 115	 y: (71, 79)
[98] x: 116	 y: (72, 80)
[99] x: 117	 y: (71, 81)
[100] x: 118	 y: (59, 81)
[101] x: 119	 y: (60, 82)
[102] x: 120	 y: (61, 83)
[103] x: 121	 y: (62, 84)
[104] x: 123	 y: (64, 85)
[105] x: 122	 y: (63, 85)
[106] x: 124	 y: (63, 86)
[107] x: 125	 y: (64, 87)
[108] x: 126	 y: (65, 88)
[109] x: 127	 y: (66, 89)
[110] x: 128	 y: (67, 89)
[111] x: 129	 y: (68, 89)
[112] x: 130	 y: (69, 90)
[113] x: 131	 y: (70, 90)
[114] x: 132	 y: (71, 91)
[115] x: 133	 y: (72, 91)
[116] x: 134	 y: (73, 92)
[117] x: 135	 y: (74, 92)
[118] x: 136	 y: (75, 93)
[119] x: 137	 y: (76, 94)
[120] x: 138	 y: (77, 94)
[121] x: 139	 y: (78, 95)
[122] x: 140	 y: (79, 96)
[123] x: 141	 y: (80, 96)
[124] x: 142	 y: (81, 97)
[125] x: 143	 y: (82, 97)
[126] x: 144	 y: (83, 98)
[127] x: 145	 y: (84, 98)
[128] x: 146	 y: (85, 98)
[129] x: 147	 y: (85, 99)
[130] x: 148	 y: (86, 99)
[131] x: 149	 y: (86, 100)
[132] x: 150	 y: (87, 100)
[133] x: 151	 y: (88, 100)
[134] x: 152	 y: (88, 100)
[135] x: 153	 y: (88, 101)
[136] x: 154	 y: (89, 102)
[137] x: 155	 y: (89, 102)
[138] x: 156	 y: (89, 102)
[139] x: 157	 y: (90, 103)
[140] x: 158	 y: (91, 103)
[141] x: 159	 y: (92, 103)
[142] x: 160	 y: (93, 103)
[143] x: 161	 y: (93, 103)
[144] x: 162	 y: (94, 104)
[145] x: 163	 y: (95, 104)
[146] x: 164	 y: (95, 104)
[147] x: 165	 y: (96, 104)
[148] x: 166	 y: (97, 105)
[149] x: 167	 y: (98, 105)
[150] x: 168	 y: (98, 105)
[151] x: 169	 y: (98, 106)
[152] x: 170	 y: (99, 106)
[153] x: 171	 y: (98, 108)
[154] x: 172	 y: (99, 108)
[155] x: 173	 y: (99, 109)
[156] x: 174	 y: (100, 109)
[157] x: 175	 y: (101, 110)
[158] x: 176	 y: (102, 110)
[159] x: 177	 y: (102, 110)
[160] x: 178	 y: (103, 111)
[161] x: 179	 y: (104, 111)
[162] x: 180	 y: (104, 111)
[163] x: 181	 y: (105, 112)
[164] x: 182	 y: (106, 112)
[165] x: 183	 y: (105, 114)
[166] x: 184	 y: (106, 114)
[167] x: 185	 y: (106, 114)
[168] x: 186	 y: (107, 114)
[169] x: 187	 y: (106, 115)
[170] x: 188	 y: (107, 115)
[171] x: 189	 y: (108, 116)
[172] x: 190	 y: (109, 117)
[173] x: 191	 y: (109, 118)
[174] x: 192	 y: (110, 119)
[175] x: 193	 y: (109, 120)
[176] x: 194	 y: (110, 120)
[177] x: 195	 y: (110, 121)
[178] x: 196	 y: (110, 122)
[179] x: 197	 y: (111, 122)
[180] x: 198	 y: (112, 122)
[181] x: 199	 y: (113, 123)
[182] x: 200	 y: (113, 123)
[183] x: 201	 y: (114, 123)
[184] x: 202	 y: (115, 123)
[185] x: 203	 y: (116, 123)
[186] x: 204	 y: (116, 123)
[187] x: 205	 y: (117, 124)
[188] x: 206	 y: (118, 124)
[189] x: 207	 y: (118, 125)
[190] x: 208	 y: (119, 125)
[191] x: 209	 y: (119, 126)
[192] x: 210	 y: (119, 127)
[193] x: 211	 y: (119, 128)
[194] x: 212	 y: (120, 128)
[195] x: 213	 y: (119, 130)
[196] x: 214	 y: (120, 130)
[197] x: 215	 y: (121, 131)
[198] x: 216	 y: (122, 131)
[199] x: 217	 y: (123, 131)
[200] x: 218	 y: (124, 131)
[201] x: 219	 y: (125, 131)
[202] x: 220	 y: (126, 131)
[203] x: 221	 y: (127, 131)
[204] x: 222	 y: (127, 132)
[205] x: 223	 y: (128, 132)
[206] x: 224	 y: (129, 132)
[207] x: 225	 y: (130, 132)
[208] x: 226	 y: (131, 132)
