[0] x: 0	 y: (0, 184)
[1] x: 1	 y: (0, 184)
[2] x: 2	 y: (0, 184)
[3] x: 3	 y: (0, 184)
[4] x: 4	 y: (0, 184)
[5] x: 5	 y: (0, 184)
[6] x: 6	 y: (0, 184)
[7] x: 7	 y: (0, 184)
[8] x: 8	 y: (0, 184)
[9] x: 9	 y: (0, 184)
[10] x: 10	 y: (0, 184)
[11] x: 11	 y: (0, 184)
[12] x: 12	 y: (0, 184)
[13] x: 13	 y: (0, 184)
[14] x: 14	 y: (0, 184)
[15] x: 15	 y: (0, 184)
[16] x: 16	 y: (0, 184)
[17] x: 17	 y: (0, 184)
[18] x: 18	 y: (0, 184)
[19] x: 19	 y: (0, 184)
[20] x: 20	 y: (0, 184)
[21] x: 21	 y: (0, 184)
[22] x: 22	 y: (0, 184)
[23] x: 23	 y: (0, 184)
[24] x: 24	 y: (0, 184)
[25] x: 25	 y: (0, 184)
[26] x: 26	 y: (0, 184)
[27] x: 27	 y: (0, 184)
[28] x: 28	 y: (0, 184)
[29] x: 29	 y: (0, 184)
[30] x: 30	 y: (0, 184)
[31] x: 31	 y: (0, 184)
[32] x: 32	 y: (0, 184)
[33] x: 33	 y: (0, 184)
[34] x: 34	 y: (0, 184)
[35] x: 35	 y: (0, 184)
[36] x: 36	 y: (0, 184)
[37] x: 37	 y: (0, 184)
[38] x: 38	 y: (0, 184)
[39] x: 39	 y: (0, 184)
[40] x: 40	 y: (0, 184)
[41] x: 41	 y: (0, 184)
[42] x: 42	 y: (0, 184)
[43] x: 43	 y: (0, 184)
[44] x: 44	 y: (0, 184)
[45] x: 45	 y: (0, 184)
[46] x: 46	 y: (0, 184)
[47] x: 47	 y: (0, 184)
[48] x: 48	 y: (0, 184)
[49] x: 49	 y: (0, 184)
[50] x: 50	 y: (0, 184)
[51] x: 51	 y: (0, 184)
[52] x: 52	 y: (0, 184)
[53] x: 53	 y: (0, 184)
[54] x: 54	 y: (0, 184)
[55] x: 55	 y: (0, 184)
[56] x: 56	 y: (0, 184)
[57] x: 57	 y: (0, 184)
[58] x: 58	 y: (0, 184)
[59] x: 59	 y: (0, 184)
[60] x: 60	 y: (0, 184)
[61] x: 61	 y: (0, 184)
[62] x: 62	 y: (0, 184)
[63] x: 63	 y: (0, 184)
[64] x: 64	 y: (0, 184)
[65] x: 65	 y: (0, 184)
[66] x: 66	 y: (0, 184)
[67] x: 67	 y: (0, 184)
[68] x: 68	 y: (0, 184)
[69] x: 69	 y: (0, 184)
[70] x: 70	 y: (0, 184)
[71] x: 71	 y: (0, 184)
[72] x: 72	 y: (0, 184)
[73] x: 73	 y: (0, 184)
[74] x: 74	 y: (0, 184)
[75] x: 75	 y: (0, 184)
[76] x: 76	 y: (0, 184)
[77] x: 77	 y: (0, 184)
[78] x: 78	 y: (0, 184)
[79] x: 79	 y: (0, 184)
[80] x: 80	 y: (0, 184)
[81] x: 81	 y: (0, 184)
[82] x: 82	 y: (0, 184)
[83] x: 83	 y: (0, 184)
[84] x: 84	 y: (0, 184)
[85] x: 85	 y: (0, 184)
[86] x: 86	 y: (0, 184)
[87] x: 87	 y: (0, 184)
[88] x: 88	 y: (0, 184)
[89] x: 89	 y: (0, 184)
[90] x: 90	 y: (0, 184)
[91] x: 91	 y: (0, 184)
[92] x: 92	 y: (0, 184)
[93] x: 93	 y: (0, 184)
[94] x: 94	 y: (0, 184)
[95] x: 95	 y: (0, 184)
[96] x: 96	 y: (0, 184)
[97] x: 97	 y: (0, 184)
[98] x: 98	 y: (0, 184)
[99] x: 99	 y: (0, 184)
[100] x: 100	 y: (0, 184)
[101] x: 101	 y: (0, 184)
[102] x: 102	 y: (0, 184)
[103] x: 103	 y: (0, 184)
[104] x: 104	 y: (0, 184)
[105] x: 105	 y: (0, 184)
[106] x: 106	 y: (0, 184)
[107] x: 107	 y: (0, 184)
[108] x: 108	 y: (0, 184)
[109] x: 109	 y: (0, 184)
[110] x: 110	 y: (0, 184)
[111] x: 111	 y: (0, 184)
[112] x: 112	 y: (0, 184)
[113] x: 113	 y: (0, 184)
[114] x: 114	 y: (0, 184)
[115] x: 115	 y: (0, 184)
[116] x: 116	 y: (0, 184)
[117] x: 117	 y: (0, 184)
[118] x: 118	 y: (0, 184)
[119] x: 119	 y: (0, 184)
[120] x: 120	 y: (0, 184)
[121] x: 121	 y: (0, 184)
[122] x: 122	 y: (0, 184)
[123] x: 123	 y: (0, 184)
[124] x: 124	 y: (0, 184)
[125] x: 125	 y: (0, 184)
[126] x: 126	 y: (0, 184)
[127] x: 127	 y: (0, 184)
[128] x: 128	 y: (0, 184)
[129] x: 129	 y: (0, 184)
[130] x: 130	 y: (0, 184)
[131] x: 131	 y: (0, 184)
[132] x: 132	 y: (0, 184)
[133] x: 133	 y: (0, 184)
[134] x: 134	 y: (0, 184)
[135] x: 135	 y: (0, 184)
[136] x: 136	 y: (0, 184)
[137] x: 137	 y: (0, 184)
[138] x: 138	 y: (0, 184)
[139] x: 139	 y: (0, 184)
[140] x: 140	 y: (0, 184)
[141] x: 141	 y: (0, 184)
