[0] x: 68	 y: (49, 50)
[1] x: 69	 y: (49, 51)
[2] x: 70	 y: (49, 52)
[3] x: 71	 y: (49, 53)
[4] x: 72	 y: (49, 54)
[5] x: 73	 y: (49, 55)
[6] x: 74	 y: (49, 56)
[7] x: 75	 y: (49, 57)
[8] x: 76	 y: (49, 58)
[9] x: 77	 y: (49, 59)
[10] x: 78	 y: (49, 59)
[11] x: 79	 y: (49, 60)
[12] x: 80	 y: (49, 61)
[13] x: 81	 y: (49, 62)
[14] x: 82	 y: (51, 62)
[15] x: 83	 y: (52, 62)
[16] x: 84	 y: (52, 63)
[17] x: 85	 y: (52, 63)
[18] x: 86	 y: (52, 64)
[19] x: 87	 y: (54, 65)
[20] x: 88	 y: (54, 64)
[21] x: 89	 y: (55, 65)
[22] x: 90	 y: (55, 66)
[23] x: 91	 y: (55, 67)
[24] x: 92	 y: (57, 67)
[25] x: 93	 y: (57, 68)
[26] x: 94	 y: (58, 69)
[27] x: 95	 y: (58, 70)
[28] x: 96	 y: (58, 71)
[29] x: 97	 y: (59, 72)
[30] x: 98	 y: (60, 73)
[31] x: 99	 y: (60, 73)
[32] x: 100	 y: (61, 74)
[33] x: 101	 y: (61, 75)
[34] x: 102	 y: (62, 76)
[35] x: 103	 y: (62, 77)
[36] x: 104	 y: (63, 78)
[37] x: 105	 y: (66, 79)
[38] x: 106	 y: (66, 80)
[39] x: 107	 y: (67, 81)
[40] x: 108	 y: (67, 82)
[41] x: 109	 y: (68, 83)
[42] x: 110	 y: (68, 84)
[43] x: 111	 y: (68, 85)
[44] x: 112	 y: (68, 86)
[45] x: 113	 y: (69, 87)
[46] x: 114	 y: (69, 88)
[47] x: 115	 y: (70, 89)
[48] x: 116	 y: (70, 90)
[49] x: 117	 y: (71, 91)
[50] x: 118	 y: (72, 92)
[51] x: 119	 y: (72, 93)
[52] x: 120	 y: (73, 94)
[53] x: 121	 y: (73, 95)
[54] x: 122	 y: (74, 96)
[55] x: 123	 y: (74, 97)
[56] x: 124	 y: (75, 98)
[57] x: 125	 y: (75, 99)
[58] x: 126	 y: (76, 100)
[59] x: 127	 y: (76, 100)
[60] x: 128	 y: (76, 101)
[61] x: 129	 y: (77, 102)
[62] x: 130	 y: (78, 95)
[63] x: 131	 y: (78, 96)
[64] x: 132	 y: (78, 93)
[65] x: 133	 y: (80, 91)
[66] x: 134	 y: (80, 88)
[67] x: 135	 y: (80, 88)
[68] x: 136	 y: (83, 89)
[69] x: 137	 y: (83, 88)
[70] x: 138	 y: (83, 89)
[71] x: 139	 y: (84, 89)
[72] x: 140	 y: (84, 90)
[73] x: 141	 y: (84, 91)
[74] x: 142	 y: (84, 92)
[75] x: 143	 y: (84, 93)
[76] x: 144	 y: (84, 94)
