##### DP MATRIX ##### 
XDIM	300	300

#	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	
M 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 1	-inf	271.882	268.429	265.381	263.512	262.367	260.880	259.774	258.295	256.273	254.706	253.952	254.118	252.402	251.048	250.507	248.951	246.489	244.874	244.027	242.329	241.731	239.545	238.396	235.085	232.983	230.924	229.293	227.819	226.487	224.239	222.174	219.764	216.432	213.821	210.965	208.709	206.458	204.994	202.902	201.164	199.931	197.997	195.400	193.473	191.543	190.398	189.881	188.361	187.062	185.960	184.681	183.147	182.220	182.440	178.575	177.298	175.516	174.308	173.115	170.588	167.849	166.273	164.988	163.632	162.099	160.563	159.278	158.272	156.396	154.788	153.280	150.693	148.197	146.524	145.589	143.016	140.889	139.215	137.807	135.449	134.010	133.055	131.181	129.435	128.004	125.724	122.881	120.748	118.193	116.186	114.875	113.126	111.626	111.158	108.575	107.008	105.973	104.064	102.146	100.835	97.892	95.516	93.419	91.721	90.152	88.535	85.810	83.152	81.368	80.090	77.899	76.311	75.520	72.885	70.679	68.629	66.368	64.578	62.976	60.604	58.835	57.111	55.850	54.001	53.005	52.505	51.548	50.365	49.242	47.177	45.054	43.250	42.803	40.843	39.902	39.619	37.695	36.542	35.219	34.032	32.977	31.685	29.831	28.466	27.421	26.306	25.088	23.400	21.321	19.711	18.357	16.556	14.941	12.817	-7.422	-8.590	-7.952	-6.458	-8.269	-7.188	-6.268	-8.331	-8.470	-8.189	-7.220	-8.541	-6.941	-5.901	-7.562	-7.996	-8.140	-7.876	-8.919	-8.742	-8.079	-6.423	-5.981	-8.022	-6.524	-7.116	-8.004	-8.298	-7.822	-8.410	-8.693	-8.606	-8.294	-8.575	-9.046	-9.147	-8.656	-9.095	-9.003	-8.195	-8.161	-8.851	-8.842	-7.168	-8.014	-8.701	-8.412	-8.106	-9.210	-9.247	-9.835	-9.853	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-9.853	
I 1	-inf	271.301	271.181	268.192	265.229	264.146	262.424	262.171	261.204	258.678	256.480	255.421	255.113	254.186	253.319	252.532	251.839	249.226	247.348	246.621	244.700	243.887	242.111	241.313	237.701	235.675	233.448	231.594	230.577	229.266	226.979	224.863	222.690	219.041	216.626	213.838	211.566	209.180	207.829	205.672	203.824	202.687	200.548	198.255	195.996	194.139	192.858	191.791	190.774	189.648	188.490	187.288	185.957	183.657	182.562	181.179	179.555	178.158	176.992	175.769	173.482	170.435	168.915	167.649	166.051	164.754	163.087	161.913	160.383	158.914	157.534	156.082	153.592	150.974	149.192	147.722	145.551	143.465	141.598	140.530	138.100	136.731	135.166	133.523	132.076	130.589	128.650	125.722	123.398	120.907	118.866	117.079	115.628	114.319	112.614	111.192	109.754	108.045	106.697	104.998	103.143	100.802	98.356	96.118	94.460	92.935	91.156	88.689	85.982	84.101	82.070	80.578	78.890	77.391	75.689	73.516	71.493	69.102	67.271	65.718	63.307	61.602	59.812	58.386	56.482	55.378	54.478	53.722	52.743	52.104	49.893	47.658	45.794	44.570	43.355	42.388	41.469	40.253	38.989	37.815	36.625	35.131	33.738	32.421	31.023	30.003	29.057	27.526	25.430	23.982	22.321	20.969	19.254	17.664	15.808	-7.841	-8.312	-8.078	-6.857	-7.759	-7.495	-6.625	-7.428	-7.622	-7.627	-7.354	-8.744	-7.454	-6.365	-6.172	-7.963	-7.732	-8.180	-9.031	-9.254	-8.652	-6.898	-6.154	-6.166	-6.995	-7.384	-7.956	-7.779	-8.180	-8.693	-8.656	-8.474	-8.329	-8.965	-9.364	-9.617	-9.154	-9.722	-9.619	-8.751	-8.568	-8.770	-9.481	-7.739	-7.786	-7.961	-8.743	-8.677	-10.011	-10.268	-11.809	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 1	-inf	271.434	266.476	263.407	262.883	261.686	260.261	258.568	255.617	255.188	254.195	253.703	253.608	251.711	250.198	249.619	246.285	244.714	243.682	242.604	241.366	240.765	238.087	235.401	233.539	231.283	229.614	228.213	225.917	224.454	222.363	220.415	216.636	214.878	211.638	208.390	206.292	204.646	202.705	200.958	199.560	198.036	196.554	193.076	192.121	190.190	189.413	189.102	187.202	185.682	184.634	183.200	181.676	182.007	181.963	177.178	176.260	173.980	172.674	171.452	167.881	166.399	164.738	163.445	162.437	160.536	159.257	157.897	157.352	155.041	152.902	151.115	147.911	146.253	145.090	144.634	141.632	139.483	138.057	135.983	133.878	132.465	132.146	130.062	127.891	126.492	122.589	120.575	119.110	116.417	114.640	113.895	111.846	110.397	110.506	107.062	105.384	105.070	102.475	100.012	99.712	94.983	93.210	91.688	89.870	88.174	86.947	83.185	80.946	79.728	79.236	76.285	75.099	74.710	70.733	68.351	66.161	64.537	62.865	61.081	58.851	56.899	55.464	54.497	52.860	52.117	51.764	50.637	49.198	46.807	45.394	43.596	42.207	42.068	39.663	38.962	38.843	36.370	35.337	33.814	32.722	32.096	30.801	28.411	27.129	26.000	24.558	23.909	22.519	19.720	18.238	16.834	14.830	13.070	-7.938	-7.512	-7.835	-7.267	-6.711	-7.511	-6.914	-6.630	-8.201	-8.072	-7.690	-7.232	-7.334	-6.603	-6.258	-7.768	-7.951	-8.013	-7.928	-8.211	-7.708	-7.043	-6.352	-6.300	-7.391	-6.727	-7.326	-7.985	-8.099	-7.926	-8.348	-8.482	-8.400	-8.303	-8.542	-8.789	-8.750	-8.555	-8.683	-8.464	-8.102	-8.150	-8.346	-7.971	-7.381	-8.107	-8.458	-8.272	-8.268	-9.004	-9.136	-9.527	-9.853	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-9.853	

M 2	-inf	268.008	272.529	267.233	263.924	262.402	261.232	260.287	259.067	256.676	256.117	254.446	253.792	253.191	251.722	250.959	249.705	247.207	245.695	244.651	242.973	241.954	240.381	239.133	235.707	233.597	231.695	230.624	228.608	227.171	224.892	222.826	220.506	216.935	214.506	211.737	209.459	207.220	205.784	203.709	201.942	200.590	198.463	196.185	194.000	192.550	191.067	190.210	189.143	188.224	186.635	185.363	183.939	182.255	181.984	180.922	177.786	176.320	175.064	173.748	171.541	168.653	167.396	165.725	164.403	163.451	161.286	159.979	158.470	156.956	155.515	153.964	151.587	148.933	147.253	145.635	143.578	141.685	140.496	138.443	136.303	135.127	133.235	131.739	130.131	128.617	126.584	123.634	121.676	119.519	117.447	115.302	113.944	112.868	110.699	109.456	108.060	106.151	104.683	102.929	101.024	98.671	96.263	94.128	92.449	90.925	89.138	87.425	83.918	82.019	80.807	80.299	76.935	75.913	74.803	71.472	69.380	67.087	65.288	63.624	61.406	59.868	57.901	56.416	54.786	53.852	52.875	51.999	51.028	49.988	47.838	45.696	43.982	42.909	41.675	40.568	39.673	38.453	37.307	36.359	34.773	33.576	33.058	31.201	29.161	28.125	27.034	25.462	24.176	23.605	20.404	18.964	17.268	15.587	13.590	-8.190	-7.495	-8.425	-7.567	-6.855	-7.998	-7.226	-6.322	-8.110	-8.385	-8.610	-8.814	-8.629	-6.989	-5.030	-7.581	-7.537	-8.441	-8.388	-8.890	-8.627	-7.457	-5.828	-5.278	-8.409	-7.379	-7.553	-7.546	-8.659	-8.321	-8.058	-8.466	-8.649	-8.929	-8.866	-9.085	-9.012	-9.132	-9.115	-8.957	-8.361	-8.015	-9.006	-8.725	-6.871	-7.613	-8.838	-9.058	-9.119	-9.382	-9.402	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-9.833	
I 2	-inf	266.351	271.946	268.959	265.925	264.848	263.098	262.919	261.974	259.427	257.182	256.086	255.683	254.889	254.061	253.256	252.608	249.990	248.101	247.379	245.448	244.621	242.869	242.083	238.461	236.437	234.203	232.338	231.342	230.032	227.744	225.626	223.461	219.800	217.393	214.607	212.334	209.944	208.597	206.437	204.585	203.452	201.305	199.023	196.752	194.898	193.610	192.506	191.524	190.406	189.246	188.047	186.724	184.317	182.683	181.938	180.296	178.919	177.754	176.529	174.251	171.193	169.675	168.410	166.801	165.515	163.842	162.674	161.114	159.669	158.299	156.848	154.362	151.740	149.953	148.455	146.307	144.222	142.346	141.294	138.861	137.495	135.897	134.269	132.836	131.347	129.421	126.490	124.159	121.670	119.628	117.817	116.382	115.081	113.276	111.951	110.518	108.773	107.457	105.766	103.887	101.572	99.124	96.880	95.224	93.701	91.915	89.459	86.749	84.865	82.791	81.340	79.647	78.103	76.456	74.284	72.262	69.866	68.033	66.483	64.070	62.367	60.575	59.142	57.235	56.126	55.199	54.457	53.491	52.872	50.656	48.416	46.550	45.271	44.110	43.141	42.179	41.010	39.741	38.573	37.383	35.865	34.465	33.180	31.779	30.761	29.822	28.277	26.155	24.743	23.080	21.728	20.016	18.428	16.581	-8.495	-7.847	-7.995	-7.664	-7.248	-7.864	-7.309	-6.817	-7.011	-7.112	-7.433	-8.534	-8.617	-7.587	-5.503	-7.758	-7.285	-8.415	-8.668	-9.288	-9.271	-8.028	-6.395	-5.437	-8.131	-7.717	-7.739	-7.274	-8.542	-8.707	-8.303	-8.090	-8.127	-9.047	-9.096	-9.382	-9.346	-9.682	-9.642	-9.443	-8.892	-8.342	-9.650	-9.405	-7.447	-7.355	-8.814	-9.533	-10.063	-10.637	-11.036	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
