##### DP MATRIX ##### 
XDIM	16	15

#	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
M 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 1	-inf	-9.726	-7.478	-9.511	-8.387	-9.457	-8.658	-9.730	-9.814	-9.457	-8.489	-7.479	-10.032	-9.803	-9.457	-5.705	
I 1	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 1	-inf	-inf	-14.638	-12.350	-13.022	-12.889	-13.379	-13.188	-13.668	-13.980	-13.919	-13.195	-12.232	-13.028	-13.590	-13.760	

M 2	-inf	-9.723	-9.007	-8.300	-7.766	-8.906	-9.399	-9.183	-9.654	-9.367	-7.840	-8.612	-8.916	-9.501	-9.363	-8.429	
I 2	-inf	-13.916	-11.667	-13.701	-12.577	-13.647	-12.848	-13.920	-14.004	-13.647	-12.679	-11.669	-14.222	-13.993	-13.647	-inf	
D 2	-inf	-inf	-14.636	-13.746	-13.008	-12.434	-12.887	-13.356	-13.504	-13.818	-13.802	-12.626	-12.858	-13.128	-13.541	-13.686	

M 3	-inf	-9.380	-9.057	-8.177	-8.372	-8.303	-8.874	-9.073	-8.745	-9.093	-8.632	-8.299	-9.106	-8.977	-9.057	-8.879	
I 3	-inf	-13.534	-12.055	-12.360	-11.734	-12.860	-12.911	-13.136	-13.512	-13.204	-11.814	-11.912	-12.965	-13.397	-13.202	-inf	
D 3	-inf	-inf	-14.292	-13.724	-12.903	-12.837	-12.769	-13.062	-13.307	-13.221	-13.394	-13.175	-12.875	-13.227	-13.332	-13.422	

M 4	-inf	-9.729	-8.826	-9.330	-5.823	-8.876	-8.937	-9.246	-9.597	-9.055	-7.609	-8.555	-9.478	-9.322	-9.143	-8.141	
I 4	-inf	-13.179	-12.322	-11.985	-11.841	-12.215	-12.633	-12.841	-12.704	-12.878	-12.004	-11.888	-12.799	-12.854	-12.853	-inf	
D 4	-inf	-inf	-14.641	-13.594	-13.690	-10.715	-11.557	-12.279	-12.900	-13.436	-13.463	-12.381	-12.707	-13.268	-13.535	-13.556	

M 5	-inf	-8.521	-9.161	-8.473	-9.262	-3.301	-8.348	-8.039	-9.063	-5.686	-8.928	-8.224	-8.070	-8.059	-5.617	-9.252	
I 5	-inf	-13.241	-12.361	-12.374	-9.941	-12.333	-12.563	-12.828	-12.926	-12.734	-11.479	-12.009	-12.925	-12.874	-12.775	-inf	
D 5	-inf	-inf	-13.433	-13.525	-13.097	-13.418	-8.211	-9.150	-10.049	-10.954	-10.359	-11.237	-11.864	-12.204	-12.367	-10.470	

M 6	-inf	-8.764	-7.833	-8.719	-8.899	-8.309	-0.162	-7.722	-8.452	-8.248	-6.567	-7.938	-8.102	-7.750	-7.855	-5.865	
I 6	-inf	-12.470	-12.543	-12.183	-10.651	-7.487	-12.166	-12.002	-12.758	-9.849	-11.901	-11.888	-12.046	-12.028	-9.784	-inf	
D 6	-inf	-inf	-13.677	-12.604	-12.901	-13.140	-12.873	-5.074	-6.028	-6.981	-7.931	-8.814	-9.724	-10.587	-11.259	-11.760	

M 7	-inf	-5.725	-8.830	-8.064	-8.960	-7.765	-7.523	2.147	-6.517	-6.298	-7.785	-7.427	-8.224	-6.968	-7.277	-8.707	
I 7	-inf	-12.395	-11.780	-12.239	-11.250	-8.246	-4.351	-11.560	-12.297	-10.471	-10.619	-11.666	-11.828	-11.587	-10.353	-inf	
D 7	-inf	-inf	-10.638	-11.482	-11.978	-12.603	-12.331	-12.079	-2.765	-3.720	-4.674	-5.628	-6.580	-7.531	-8.453	-9.348	

M 8	-inf	-4.266	-6.561	-7.297	-7.711	-6.595	-6.720	-2.399	0.988	-3.270	-5.048	-6.059	-6.524	-5.632	-6.035	-7.616	
I 8	-inf	-9.877	-12.065	-11.869	-11.742	-8.967	-5.123	-2.043	-10.617	-10.103	-10.948	-11.252	-11.809	-10.895	-10.588	-inf	
D 8	-inf	-inf	-9.178	-9.901	-10.626	-11.279	-11.112	-11.133	-7.303	-3.911	-4.831	-5.770	-6.711	-7.644	-8.465	-9.224	

M 9	-inf	-6.005	-5.322	-6.406	-7.341	-6.064	-6.099	-4.718	-2.863	1.055	-3.937	-5.503	-5.721	-3.408	-5.118	-7.027	
I 9	-inf	-8.350	-10.634	-11.212	-11.468	-9.438	-5.889	-2.793	-3.202	-7.427	-9.158	-10.092	-10.570	-9.675	-9.947	-inf	
D 9	-inf	-inf	-10.917	-10.056	-10.460	-11.055	-10.672	-10.579	-9.492	-7.708	-3.849	-4.786	-5.732	-6.668	-7.219	-8.029	

M 10	-inf	-7.621	-4.551	-6.179	-5.679	-7.067	-5.779	-6.574	-4.620	-3.661	0.868	-2.529	-6.206	-6.412	-4.480	-2.170	
I 10	-inf	-8.828	-9.372	-10.373	-11.131	-9.539	-6.635	-3.561	-3.929	-3.128	-7.974	-9.423	-9.697	-7.541	-9.090	-inf	
D 10	-inf	-inf	-12.533	-9.445	-9.994	-10.061	-10.693	-10.366	-10.707	-9.420	-8.420	-4.039	-4.911	-5.861	-6.805	-7.581	

M 11	-inf	-7.098	-2.945	-5.381	-6.009	-5.986	-5.770	-6.124	-5.318	-4.601	-3.535	3.773	-3.672	-5.742	-5.939	-3.341	
I 11	-inf	-9.496	-8.521	-9.991	-9.746	-9.983	-7.333	-4.331	-4.685	-3.882	-3.317	-6.689	-9.738	-8.217	-8.405	-inf	
D 11	-inf	-inf	-12.010	-7.851	-8.602	-9.329	-9.852	-10.049	-10.327	-9.930	-9.287	-8.294	-1.139	-2.092	-3.047	-4.001	

M 12	-inf	-5.882	-6.174	-3.419	-6.168	-4.827	-5.168	-5.511	-5.033	-4.286	-5.040	-4.285	6.126	-2.035	-2.676	-4.982	
I 12	-inf	-9.961	-7.025	-9.306	-9.652	-9.730	-7.960	-5.099	-5.441	-4.638	-4.063	-0.416	-7.794	-8.661	-8.851	-inf	
D 12	-inf	-inf	-10.794	-10.670	-8.295	-9.101	-9.192	-9.419	-9.706	-9.547	-8.958	-9.239	-8.883	1.214	0.260	-0.694	

M 13	-inf	-4.129	-3.590	-3.873	-2.039	-3.944	-3.972	-4.045	-4.175	-3.850	-2.269	-3.414	-2.611	4.776	-0.406	-0.435	
I 13	-inf	-9.656	-7.724	-7.528	-9.697	-8.813	-8.304	-5.850	-6.165	-5.365	-4.824	-1.188	1.937	-6.186	-6.805	-inf	
D 13	-inf	-inf	-9.041	-8.300	-8.299	-6.856	-7.510	-7.959	-8.243	-8.447	-8.339	-7.067	-7.469	-7.182	-0.136	-1.076	

M 14	-inf	-2.658	-3.352	-2.820	-3.508	0.880	-2.789	-2.442	-3.354	0.093	-3.227	-2.673	-1.572	1.424	7.225	-0.982	
I 14	-inf	-8.204	-7.382	-7.481	-6.215	-7.923	-7.825	-6.440	-6.722	-5.999	-5.244	-1.957	1.164	0.587	-4.546	-inf	
D 14	-inf	-inf	-7.570	-7.693	-7.395	-7.691	-4.022	-4.913	-5.664	-6.443	-4.746	-5.618	-6.263	-6.092	-3.460	2.313	

M 15	-inf	-2.816	-0.319	-2.467	-1.260	-2.428	0.622	-2.563	-2.587	-2.406	0.111	-0.393	-2.652	-0.703	0.530	9.821	
I 15	-inf	-6.735	-7.109	-6.756	-6.588	-3.305	-6.798	-6.187	-6.826	-4.030	-5.796	-2.713	0.394	-0.113	3.035	-inf	
D 15	-inf	-inf	-7.728	-5.200	-5.897	-5.762	-6.288	-4.239	-5.097	-5.841	-6.330	-4.721	-4.780	-5.586	-5.282	-4.237	

M 16	-inf	-0.497	1.775	-0.029	0.876	-0.121	0.613	0.052	-0.551	-0.197	0.779	2.117	-0.553	-0.272	0.102	5.349	
I 16	-inf	-6.532	-4.475	-6.307	-5.312	-4.001	-3.550	-6.158	-6.412	-4.649	-3.999	-3.198	-0.377	-0.867	2.265	-inf	
D 16	-inf	-inf	-5.409	-3.098	-3.709	-3.608	-4.077	-3.906	-4.168	-4.585	-4.609	-3.919	-2.678	-3.484	-4.050	-4.210	

###### SPECIAL STATES #####
N	0.000	-0.030	-0.059	-0.089	-0.118	-0.148	-0.177	-0.207	-0.236	-0.266	-0.296	-0.325	-0.355	-0.384	-0.414	-0.443	-0.473	
J	-inf	-5.865	-5.527	-5.283	-4.894	-3.484	-0.768	1.566	1.807	2.007	2.148	3.415	5.565	5.751	6.909	9.229	9.211	
E	-inf	-5.171	-6.015	-6.018	-5.275	-3.062	-0.141	2.160	1.059	1.117	0.986	3.789	6.138	4.801	7.238	9.821	5.475	
C	-inf	-5.865	-5.527	-5.283	-4.894	-3.484	-0.768	1.566	1.807	2.007	2.148	3.415	5.565	5.751	6.909	9.229	9.211	
B	-3.536	-3.563	-3.591	-3.619	-3.646	-3.649	-3.272	-1.813	-1.608	-1.431	-1.305	-0.097	2.032	2.217	3.374	5.693	5.675	
