##### DP MATRIX ##### 
XDIM	300	300

#	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	
M 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 1	-inf	-12.262	-12.266	-14.452	-14.452	-15.412	-15.412	-15.220	-15.055	-14.719	-14.717	-15.055	-15.055	-15.413	-15.220	-14.999	-15.220	-14.999	-15.076	-14.630	-14.988	-14.917	-15.413	-14.626	-15.226	-15.220	-14.988	-14.630	-14.712	-14.719	-14.988	-15.055	-15.220	-15.226	-15.413	-15.157	-14.582	-14.999	-14.665	-14.626	-14.717	-14.582	-15.055	-15.413	-14.717	-14.988	-14.626	-15.076	-15.220	-14.630	-12.268	-14.917	-14.917	-14.719	-14.712	-15.330	-14.453	-15.220	-14.665	-14.665	-15.220	-14.652	-14.626	-12.268	-14.630	-14.626	-14.652	-14.917	-14.917	-15.413	-15.055	-15.076	-14.988	-12.268	-15.076	-14.917	-15.330	-15.220	-14.630	-14.712	-15.226	-14.719	-12.268	-15.413	-15.157	-14.917	-15.220	-12.268	-14.665	-14.712	-12.268	-14.652	-15.220	-14.582	-14.652	-15.330	-14.626	-12.268	-15.413	-14.988	-14.719	-15.330	-14.719	-14.999	-14.917	-15.076	-14.717	-14.988	-14.453	-14.665	-14.719	-14.717	-14.453	-14.582	-15.220	-14.453	-14.626	-14.999	-14.917	-14.917	-15.226	-14.626	-12.268	-14.630	-15.226	-14.665	-14.626	-15.226	-14.988	-14.917	-15.076	-15.226	-14.988	-14.630	-15.413	-14.582	-15.076	-15.413	-14.717	-14.630	-12.268	-14.717	-14.626	-14.712	-14.652	-15.076	-15.076	-15.076	-15.226	-14.630	-14.453	-14.917	-14.988	-14.917	-15.055	-14.717	-14.988	-14.717	-14.626	-15.220	-12.268	-15.055	-14.712	-14.717	-14.999	-15.226	-15.330	-14.917	-14.988	-14.719	-14.453	-15.076	-14.712	-15.157	-12.268	-14.717	-14.719	-12.268	-14.665	-14.453	-15.413	-15.220	-15.076	-14.712	-15.157	-14.630	-15.076	-14.917	-15.220	-15.055	-14.626	-14.719	-15.226	-15.076	-15.076	-15.055	-14.917	-14.652	-14.582	-14.917	-14.717	-14.652	-15.157	-15.413	-14.626	-14.582	-14.988	-14.719	-14.712	-15.157	-14.626	-14.988	-15.055	-14.988	-14.582	-14.719	-14.626	-15.055	-15.226	-14.719	-14.453	-14.999	-14.665	-14.719	-14.712	-15.226	-14.712	-15.226	-15.076	-15.076	-14.582	-14.453	-14.626	-14.630	-15.226	-14.917	-14.999	-14.988	-14.630	-14.988	-12.268	-14.717	-15.226	-14.988	-15.330	-14.630	-14.665	-14.665	-14.453	-14.988	-15.076	-14.582	-15.055	-12.268	-15.330	-14.453	-15.055	-14.917	-14.999	-14.717	-14.626	-14.665	-14.988	-14.999	-14.582	-14.453	-14.453	-14.917	-14.626	-14.712	-15.330	-15.076	-15.330	-14.717	-14.917	-14.999	-14.582	-15.330	-14.712	-14.665	-15.055	-14.917	-14.626	-14.988	-14.582	-14.652	-14.717	-14.630	-15.413	-14.917	-14.630	-15.330	-14.453	-15.220	-14.717	-14.717	-15.157	-12.268	-12.268	-15.220	-15.076	
I 1	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 1	-inf	-inf	-16.748	-16.752	-17.707	-18.662	-19.617	-19.899	-19.706	-19.541	-19.205	-19.203	-19.541	-19.541	-19.899	-19.706	-19.485	-19.706	-19.485	-19.562	-19.116	-19.474	-19.403	-19.899	-19.112	-19.712	-19.706	-19.474	-19.116	-19.198	-19.205	-19.474	-19.541	-19.706	-19.712	-19.899	-19.643	-19.068	-19.485	-19.151	-19.112	-19.203	-19.068	-19.541	-19.899	-19.203	-19.474	-19.112	-19.562	-19.706	-19.116	-16.755	-17.710	-18.665	-19.205	-19.198	-19.816	-18.939	-19.706	-19.151	-19.151	-19.706	-19.139	-19.112	-16.755	-17.710	-18.665	-19.139	-19.403	-19.403	-19.899	-19.541	-19.562	-19.474	-16.755	-17.710	-18.665	-19.620	-19.706	-19.116	-19.198	-19.712	-19.205	-16.755	-17.710	-18.665	-19.403	-19.706	-16.755	-17.710	-18.665	-16.755	-17.710	-18.665	-19.068	-19.139	-19.816	-19.112	-16.755	-17.710	-18.665	-19.205	-19.816	-19.205	-19.485	-19.403	-19.562	-19.203	-19.474	-18.939	-19.151	-19.205	-19.203	-18.939	-19.068	-19.706	-18.939	-19.112	-19.485	-19.403	-19.403	-19.712	-19.112	-16.755	-17.710	-18.665	-19.151	-19.112	-19.712	-19.474	-19.403	-19.562	-19.712	-19.474	-19.116	-19.899	-19.068	-19.562	-19.899	-19.203	-19.116	-16.755	-17.710	-18.665	-19.198	-19.139	-19.562	-19.562	-19.562	-19.712	-19.116	-18.939	-19.403	-19.474	-19.403	-19.541	-19.203	-19.474	-19.203	-19.112	-19.706	-16.755	-17.710	-18.665	-19.203	-19.485	-19.712	-19.816	-19.403	-19.474	-19.205	-18.939	-19.562	-19.198	-19.643	-16.755	-17.710	-18.665	-16.755	-17.710	-18.665	-19.620	-19.706	-19.562	-19.198	-19.643	-19.116	-19.562	-19.403	-19.706	-19.541	-19.112	-19.205	-19.712	-19.562	-19.562	-19.541	-19.403	-19.139	-19.068	-19.403	-19.203	-19.139	-19.643	-19.899	-19.112	-19.068	-19.474	-19.205	-19.198	-19.643	-19.112	-19.474	-19.541	-19.474	-19.068	-19.205	-19.112	-19.541	-19.712	-19.205	-18.939	-19.485	-19.151	-19.205	-19.198	-19.712	-19.198	-19.712	-19.562	-19.562	-19.068	-18.939	-19.112	-19.116	-19.712	-19.403	-19.485	-19.474	-19.116	-19.474	-16.755	-17.710	-18.665	-19.474	-19.816	-19.116	-19.151	-19.151	-18.939	-19.474	-19.562	-19.068	-19.541	-16.755	-17.710	-18.665	-19.541	-19.403	-19.485	-19.203	-19.112	-19.151	-19.474	-19.485	-19.068	-18.939	-18.939	-19.403	-19.112	-19.198	-19.816	-19.562	-19.816	-19.203	-19.403	-19.485	-19.068	-19.816	-19.198	-19.151	-19.541	-19.403	-19.112	-19.474	-19.068	-19.139	-19.203	-19.116	-19.899	-19.403	-19.116	-19.816	-18.939	-19.706	-19.203	-19.203	-19.643	-16.755	-16.755	-17.710	

M 2	-inf	-15.275	-12.909	-12.591	-14.776	-13.644	-13.826	-14.283	-14.703	-15.531	-15.268	-14.703	-14.703	-13.826	-14.283	-15.189	-14.283	-15.189	-15.313	-15.294	-14.667	-15.010	-13.826	-15.256	-14.543	-14.283	-14.671	-15.294	-14.615	-15.531	-14.671	-14.703	-14.283	-14.552	-13.826	-14.297	-15.301	-15.137	-15.378	-15.256	-15.259	-15.301	-14.651	-13.826	-15.268	-14.671	-15.256	-15.304	-14.283	-15.294	-15.277	-12.644	-15.010	-15.531	-14.619	-13.147	-14.959	-14.102	-15.378	-15.378	-14.283	-15.047	-15.256	-15.273	-12.928	-15.252	-15.038	-15.010	-15.010	-13.826	-14.703	-15.313	-14.671	-15.281	-12.947	-15.010	-13.147	-14.283	-15.294	-14.615	-14.552	-15.531	-15.281	-11.460	-14.297	-15.010	-14.283	-15.281	-13.012	-14.619	-15.281	-12.681	-14.283	-15.301	-14.995	-13.147	-15.256	-15.273	-11.460	-14.671	-15.531	-13.147	-15.531	-15.189	-15.010	-15.313	-15.268	-14.671	-14.959	-15.196	-15.531	-15.268	-14.959	-15.119	-14.231	-14.959	-15.075	-15.180	-15.010	-15.010	-14.552	-15.256	-15.273	-12.928	-14.547	-15.378	-15.256	-14.543	-14.671	-15.010	-15.313	-14.552	-14.671	-15.294	-13.822	-15.301	-15.260	-13.826	-15.268	-15.294	-15.277	-12.902	-15.256	-14.610	-15.047	-15.313	-15.313	-15.313	-14.552	-15.294	-14.955	-14.828	-14.671	-15.010	-14.703	-15.268	-14.671	-15.268	-15.256	-14.275	-15.281	-12.337	-14.619	-15.268	-15.189	-14.552	-13.147	-15.010	-14.671	-15.531	-14.959	-15.131	-14.619	-14.297	-15.281	-12.902	-15.531	-15.281	-13.012	-14.959	-13.645	-14.283	-15.313	-14.619	-14.297	-15.294	-15.308	-15.010	-14.283	-14.703	-15.256	-15.523	-14.552	-15.313	-15.313	-14.703	-15.010	-15.047	-15.301	-14.957	-15.268	-15.047	-14.297	-13.826	-15.256	-15.292	-14.619	-15.531	-14.619	-14.297	-15.256	-14.662	-14.703	-14.671	-15.301	-15.479	-15.256	-14.694	-14.552	-15.531	-14.959	-15.007	-15.378	-15.531	-14.619	-14.552	-14.619	-14.552	-15.313	-15.313	-15.301	-14.907	-15.075	-15.285	-14.547	-15.010	-15.189	-14.671	-15.294	-14.667	-15.281	-12.902	-14.552	-14.671	-13.147	-15.294	-15.374	-15.378	-14.959	-14.489	-15.313	-15.301	-14.651	-15.281	-10.781	-14.959	-14.521	-15.010	-15.189	-15.268	-15.256	-15.369	-14.671	-15.189	-15.301	-14.907	-14.777	-14.828	-15.256	-14.610	-13.147	-15.313	-13.147	-15.268	-15.010	-15.189	-15.301	-13.094	-14.619	-15.378	-14.703	-15.010	-15.256	-14.662	-15.301	-14.995	-15.268	-15.294	-13.822	-15.010	-15.294	-13.143	-14.959	-14.102	-15.268	-15.268	-14.297	-15.281	-12.916	-11.917	-15.313	
I 2	-inf	-16.025	-16.030	-18.215	-18.216	-19.176	-19.176	-18.983	-18.819	-18.482	-18.481	-18.819	-18.819	-19.176	-18.983	-18.763	-18.983	-18.763	-18.840	-18.394	-18.751	-18.681	-19.176	-18.389	-18.989	-18.983	-18.751	-18.394	-18.476	-18.482	-18.751	-18.819	-18.983	-18.989	-19.176	-18.920	-18.346	-18.763	-18.428	-18.389	-18.481	-18.346	-18.819	-19.176	-18.481	-18.751	-18.389	-18.840	-18.983	-18.394	-16.032	-18.681	-18.681	-18.482	-18.476	-19.094	-18.216	-18.983	-18.428	-18.428	-18.983	-18.416	-18.389	-16.032	-18.394	-18.389	-18.416	-18.681	-18.681	-19.176	-18.819	-18.840	-18.751	-16.032	-18.840	-18.681	-19.094	-18.983	-18.394	-18.476	-18.989	-18.482	-16.032	-19.176	-18.920	-18.681	-18.983	-16.032	-18.428	-18.476	-16.032	-18.416	-18.983	-18.346	-18.416	-19.094	-18.389	-16.032	-19.176	-18.751	-18.482	-19.094	-18.482	-18.763	-18.681	-18.840	-18.481	-18.751	-18.216	-18.428	-18.482	-18.481	-18.216	-18.346	-18.983	-18.216	-18.389	-18.763	-18.681	-18.681	-18.989	-18.389	-16.032	-18.394	-18.989	-18.428	-18.389	-18.989	-18.751	-18.681	-18.840	-18.989	-18.751	-18.394	-19.176	-18.346	-18.840	-19.176	-18.481	-18.394	-16.032	-18.481	-18.389	-18.476	-18.416	-18.840	-18.840	-18.840	-18.989	-18.394	-18.216	-18.681	-18.751	-18.681	-18.819	-18.481	-18.751	-18.481	-18.389	-18.983	-16.032	-18.819	-18.476	-18.481	-18.763	-18.989	-19.094	-18.681	-18.751	-18.482	-18.216	-18.840	-18.476	-18.920	-16.032	-18.481	-18.482	-16.032	-18.428	-18.216	-19.176	-18.983	-18.840	-18.476	-18.920	-18.394	-18.840	-18.681	-18.983	-18.819	-18.389	-18.482	-18.989	-18.840	-18.840	-18.819	-18.681	-18.416	-18.346	-18.681	-18.481	-18.416	-18.920	-19.176	-18.389	-18.346	-18.751	-18.482	-18.476	-18.920	-18.389	-18.751	-18.819	-18.751	-18.346	-18.482	-18.389	-18.819	-18.989	-18.482	-18.216	-18.763	-18.428	-18.482	-18.476	-18.989	-18.476	-18.989	-18.840	-18.840	-18.346	-18.216	-18.389	-18.394	-18.989	-18.681	-18.763	-18.751	-18.394	-18.751	-16.032	-18.481	-18.989	-18.751	-19.094	-18.394	-18.428	-18.428	-18.216	-18.751	-18.840	-18.346	-18.819	-16.032	-19.094	-18.216	-18.819	-18.681	-18.763	-18.481	-18.389	-18.428	-18.751	-18.763	-18.346	-18.216	-18.216	-18.681	-18.389	-18.476	-19.094	-18.840	-19.094	-18.481	-18.681	-18.763	-18.346	-19.094	-18.476	-18.428	-18.819	-18.681	-18.389	-18.751	-18.346	-18.416	-18.481	-18.394	-19.176	-18.681	-18.394	-19.094	-18.216	-18.983	-18.481	-18.481	-18.920	-16.032	-16.032	-18.983	-inf	
