##### DP MATRIX ##### 
XDIM	21	15

XTRACE
M_ST	4	4
M_ST	5	5
M_ST	6	6
M_ST	7	7
M_ST	8	8
M_ST	9	9
M_ST	10	10
M_ST	11	11
M_ST	12	12
M_ST	13	13
M_ST	14	14
M_ST	15	15
/

##### NORMAL STATES #####
XMATRIX
#	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
M 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 1	-inf	12.210	8.683	8.021	5.306	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-4.328	
I 1	-inf	11.616	11.749	11.229	8.699	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 1	-inf	11.751	7.138	5.912	1.131	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-4.328	

M 2	-inf	8.162	13.110	8.660	6.086	2.835	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-4.308	
I 2	-inf	6.543	12.514	11.997	9.471	6.251	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 2	-inf	11.699	12.648	5.660	2.179	-4.308	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-4.308	

M 3	-inf	7.117	8.034	13.365	6.852	3.622	-inf	-inf	-2.202	-inf	-inf	-inf	-inf	-inf	-inf	-4.288	
I 3	-inf	3.986	4.334	12.768	10.243	7.024	-inf	-inf	0.762	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 3	-inf	10.994	11.948	12.902	2.755	-0.947	-inf	-inf	-3.482	-inf	-inf	-inf	-inf	-inf	-inf	-4.288	

M 4	-inf	4.360	5.331	6.266	11.612	4.412	0.775	-1.258	0.748	-2.407	-3.214	-inf	-inf	-inf	-inf	-4.268	
I 4	-inf	0.294	1.686	2.122	11.015	7.796	3.909	0.935	1.528	0.400	-0.226	-inf	-inf	-inf	-inf	-inf	
D 4	-inf	8.285	9.240	10.194	11.149	0.666	-0.540	-0.480	0.244	-3.304	-4.268	-inf	-inf	-inf	-inf	-4.268	

M 5	-inf	-inf	1.883	2.860	3.907	9.164	1.467	-0.530	-0.687	-1.763	-2.646	-inf	-inf	-inf	-inf	-4.249	
I 5	-inf	-inf	-inf	-1.504	1.161	8.568	4.676	1.667	2.030	1.162	0.547	-inf	-inf	-inf	-inf	-inf	
D 5	-inf	-inf	5.838	6.793	7.748	8.701	-0.417	-1.073	-1.673	-2.932	-4.249	-inf	-inf	-inf	-inf	-4.249	

M 6	-inf	-inf	-inf	-inf	0.249	2.044	6.031	0.150	0.153	-1.079	-1.986	-inf	-inf	-inf	-inf	-4.229	
I 6	-inf	-inf	-inf	-inf	-1.104	1.194	5.444	2.397	2.785	1.926	1.319	-inf	-inf	-inf	-inf	-inf	
D 6	-inf	-inf	-inf	-inf	3.702	4.649	5.569	-0.375	-0.812	-2.473	-4.229	-inf	-inf	-inf	-inf	-4.229	

M 7	-inf	-inf	-inf	-inf	-1.407	-0.587	2.240	3.722	0.933	-0.349	-1.226	-inf	-inf	-inf	-inf	-4.209	
I 7	-inf	-inf	-inf	-inf	-2.079	-1.342	1.643	3.129	3.535	2.690	2.092	-inf	-inf	-inf	-inf	-inf	
D 7	-inf	-inf	-inf	-inf	0.955	1.859	2.770	3.274	-0.027	-1.856	-3.764	-inf	-inf	-inf	-inf	-4.209	

M 8	-inf	-inf	-inf	-inf	-1.931	-1.593	-0.375	-0.091	4.881	0.467	-0.500	-3.133	-1.787	-inf	-inf	-4.189	
I 8	-inf	-inf	-inf	-inf	-2.921	-2.781	-1.395	-1.738	4.285	3.455	2.864	-0.793	-2.219	-inf	-inf	-inf	
D 8	-inf	-inf	-inf	-inf	0.682	1.599	2.539	3.471	4.420	-0.964	-2.977	-2.721	-2.203	-inf	-inf	-4.189	

M 9	-inf	-inf	-inf	-inf	-3.262	-2.438	-2.018	-1.196	-0.198	4.814	0.391	-2.925	-3.737	-4.015	-inf	-4.169	
I 9	-inf	-inf	-inf	-inf	-5.223	-3.848	-4.038	-3.215	-1.985	4.217	3.636	-0.037	-2.904	-2.544	-inf	-inf	
D 9	-inf	-inf	-inf	-inf	-0.351	0.573	1.505	2.452	3.402	4.352	-1.793	-3.526	-3.667	-4.169	-inf	-4.169	

M 10	-inf	-inf	-inf	-inf	-inf	-3.470	-2.895	-2.013	-1.210	-0.300	5.002	-2.328	-3.301	-3.524	-inf	-4.150	
I 10	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-4.761	-3.944	-3.601	4.405	0.732	-2.199	-1.771	-inf	-inf	
D 10	-inf	-inf	-inf	-inf	-inf	-0.202	0.734	1.682	2.632	3.585	4.539	-3.278	-3.355	-3.864	-inf	-4.150	

M 11	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-2.790	-3.248	-2.740	2.098	-3.006	-3.010	-3.964	-4.130	
I 11	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-3.828	-4.127	-4.357	1.501	-1.518	-1.026	-6.480	-inf	
D 11	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-1.061	-0.232	0.696	1.640	-3.043	-3.245	-3.728	-4.130	

M 12	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-2.977	-3.376	-3.158	-0.257	-3.049	-3.578	-4.110	
I 12	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-3.654	-4.169	-4.085	-0.814	-0.287	-5.070	-inf	
D 12	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-2.514	-2.182	-1.494	-0.684	-3.446	-3.510	-4.110	

M 13	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-0.943	-3.208	-3.603	-3.241	-2.011	1.071	-3.826	-4.090	
I 13	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-1.586	-4.129	-4.231	-4.615	-2.847	0.481	-5.908	-inf	
D 13	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-1.255	-2.425	-1.899	-1.100	-0.230	0.616	-3.639	-4.090	

M 14	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-3.437	-2.849	-3.873	-3.807	-2.314	-1.383	-4.070	
I 14	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-4.820	-3.804	-6.343	-6.078	-3.116	-2.051	-inf	
D 14	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-3.005	-2.807	-3.070	-2.644	-2.014	-1.768	-4.070	

M 15	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-4.035	-4.030	-4.016	-3.980	-1.363	-4.051	
I 15	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-2.031	-inf	
D 15	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-3.457	-3.307	-2.998	-2.472	-1.748	-4.051	

M 16	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-4.031	
I 16	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 16	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-4.031	

M 17	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-4.011	
I 17	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 17	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-4.011	

M 18	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-3.991	
I 18	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 18	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-3.991	

M 19	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-3.971	
I 19	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 19	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-3.971	

M 20	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-3.952	
I 20	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 20	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-3.952	

M 21	-inf	-3.920	-3.920	-3.920	-3.920	-3.920	-3.920	-3.920	-3.920	-3.920	-3.920	-3.920	-3.921	-3.922	-3.924	-3.932	
