##### DP MATRIX ##### 
XDIM	300	300

#	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218	219	220	221	222	223	224	225	226	227	228	229	230	231	232	233	234	235	236	237	238	239	240	241	242	243	244	245	246	247	248	249	250	251	252	253	254	255	256	257	258	259	260	261	262	263	264	265	266	267	268	269	270	271	272	273	274	275	276	277	278	279	280	281	282	283	284	285	286	287	288	289	290	291	292	293	294	295	296	297	298	299	300	
M 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 1	-inf	-12.262	-12.266	-14.452	-14.452	-15.412	-15.412	-15.220	-15.055	-14.719	-14.717	-15.055	-15.055	-15.413	-15.220	-14.999	-15.220	-14.999	-15.076	-14.630	-14.988	-14.917	-15.413	-14.626	-15.226	-15.220	-14.988	-14.630	-14.712	-14.719	-14.988	-15.055	-15.220	-15.226	-15.413	-15.157	-14.582	-14.999	-14.665	-14.626	-14.717	-14.582	-15.055	-15.413	-14.717	-14.988	-14.626	-15.076	-15.220	-14.630	-12.268	-14.917	-14.917	-14.719	-14.712	-15.330	-14.453	-15.220	-14.665	-14.665	-15.220	-14.652	-14.626	-12.268	-14.630	-14.626	-14.652	-14.917	-14.917	-15.413	-15.055	-15.076	-14.988	-12.268	-15.076	-14.917	-15.330	-15.220	-14.630	-14.712	-15.226	-14.719	-12.268	-15.413	-15.157	-14.917	-15.220	-12.268	-14.665	-14.712	-12.268	-14.652	-15.220	-14.582	-14.652	-15.330	-14.626	-12.268	-15.413	-14.988	-14.719	-15.330	-14.719	-14.999	-14.917	-15.076	-14.717	-14.988	-14.453	-14.665	-14.719	-14.717	-14.453	-14.582	-15.220	-14.453	-14.626	-14.999	-14.917	-14.917	-15.226	-14.626	-12.268	-14.630	-15.226	-14.665	-14.626	-15.226	-14.988	-14.917	-15.076	-15.226	-14.988	-14.630	-15.413	-14.582	-15.076	-15.413	-14.717	-14.630	-12.268	-14.717	-14.626	-14.712	-14.652	-15.076	-15.076	-15.076	-15.226	-14.630	-14.453	-14.917	-14.988	-14.917	-15.055	-14.717	-14.988	-14.717	-14.626	-15.220	-12.268	-15.055	-14.712	-14.717	-14.999	-15.226	-15.330	-14.917	-14.988	-14.719	-14.453	-15.076	-14.712	-15.157	-12.268	-14.717	-14.719	-12.268	-14.665	-14.453	-15.413	-15.220	-15.076	-14.712	-15.157	-14.630	-15.076	-14.917	-15.220	-15.055	-14.626	-14.719	-15.226	-15.076	-15.076	-15.055	-14.917	-14.652	-14.582	-14.917	-14.717	-14.652	-15.157	-15.413	-14.626	-14.582	-14.988	-14.719	-14.712	-15.157	-14.626	-14.988	-15.055	-14.988	-14.582	-14.719	-14.626	-15.055	-15.226	-14.719	-14.453	-14.999	-14.665	-14.719	-14.712	-15.226	-14.712	-15.226	-15.076	-15.076	-14.582	-14.453	-14.626	-14.630	-15.226	-14.917	-14.999	-14.988	-14.630	-14.988	-12.268	-14.717	-15.226	-14.988	-15.330	-14.630	-14.665	-14.665	-14.453	-14.988	-15.076	-14.582	-15.055	-12.268	-15.330	-14.453	-15.055	-14.917	-14.999	-14.717	-14.626	-14.665	-14.988	-14.999	-14.582	-14.453	-14.453	-14.917	-14.626	-14.712	-15.330	-15.076	-15.330	-14.717	-14.917	-14.999	-14.582	-15.330	-14.712	-14.665	-15.055	-14.917	-14.626	-14.988	-14.582	-14.652	-14.717	-14.630	-15.413	-14.917	-14.630	-15.330	-14.453	-15.220	-14.717	-14.717	-15.157	-12.268	-12.268	-15.220	-15.076	
I 1	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 1	-inf	-inf	-16.748	-16.425	-17.189	-17.771	-18.456	-18.932	-19.099	-19.072	-18.840	-18.763	-18.932	-19.006	-19.236	-19.226	-19.080	-19.164	-19.059	-19.070	-18.778	-18.901	-18.911	-19.189	-18.807	-19.043	-19.148	-19.046	-18.771	-18.734	-18.724	-18.878	-18.983	-19.122	-19.185	-19.319	-19.216	-18.782	-18.910	-18.752	-18.673	-18.700	-18.626	-18.868	-19.166	-18.867	-18.939	-18.735	-18.931	-19.099	-18.786	-16.705	-17.499	-18.127	-18.448	-18.602	-18.985	-18.626	-18.948	-18.765	-18.702	-18.988	-18.769	-18.678	-16.700	-17.446	-18.002	-18.350	-18.660	-18.810	-19.136	-19.086	-19.080	-19.022	-16.715	-17.530	-18.149	-18.705	-18.989	-18.754	-18.728	-19.004	-18.819	-16.707	-17.560	-18.235	-18.598	-18.933	-16.712	-17.462	-18.040	-16.653	-17.412	-18.135	-18.386	-18.541	-18.950	-18.739	-16.703	-17.557	-18.188	-18.480	-18.915	-18.790	-18.913	-18.916	-19.011	-18.821	-18.920	-18.608	-18.643	-18.689	-18.706	-18.543	-18.567	-18.916	-18.607	-18.618	-18.835	-18.885	-18.904	-19.089	-18.780	-16.705	-17.451	-18.166	-18.442	-18.551	-18.910	-18.957	-18.932	-19.019	-19.141	-19.044	-18.770	-19.115	-18.755	-18.940	-19.204	-18.878	-18.719	-16.702	-17.464	-18.013	-18.383	-18.540	-18.835	-18.976	-19.037	-19.149	-18.800	-18.573	-18.770	-18.898	-18.910	-18.997	-18.816	-18.918	-18.790	-18.686	-18.979	-16.714	-17.526	-18.083	-18.424	-18.737	-19.009	-19.194	-19.015	-18.998	-18.817	-18.578	-18.854	-18.765	-18.987	-16.714	-17.474	-18.050	-16.654	-17.415	-17.922	-18.569	-18.917	-19.012	-18.817	-19.012	-18.761	-18.943	-18.927	-19.097	-19.071	-18.775	-18.740	-19.010	-19.050	-19.066	-19.059	-18.970	-18.763	-18.648	-18.805	-18.750	-18.689	-18.950	-19.209	-18.812	-18.664	-18.850	-18.767	-18.733	-18.972	-18.745	-18.887	-18.987	-18.987	-18.720	-18.719	-18.661	-18.885	-19.080	-18.843	-18.586	-18.819	-18.721	-18.720	-18.715	-18.997	-18.813	-19.046	-19.064	-19.072	-18.744	-18.555	-18.598	-18.618	-18.947	-18.928	-18.971	-18.981	-18.751	-18.890	-16.710	-17.471	-18.182	-18.598	-18.982	-18.752	-18.697	-18.677	-18.533	-18.788	-18.955	-18.710	-18.908	-16.711	-17.556	-18.009	-18.518	-18.744	-18.893	-18.781	-18.683	-18.672	-18.854	-18.941	-18.705	-18.542	-18.486	-18.729	-18.664	-18.693	-19.035	-19.061	-19.218	-18.882	-18.903	-18.961	-18.712	-19.045	-18.828	-18.724	-18.914	-18.916	-18.728	-18.880	-18.686	-18.666	-18.697	-18.655	-19.051	-18.966	-18.747	-19.064	-18.646	-18.959	-18.803	-18.750	-18.980	-16.714	-16.417	-17.280	

M 2	-inf	-15.275	-12.819	-12.494	-14.123	-13.015	-13.429	-13.896	-14.254	-15.022	-14.611	-14.045	-14.192	-13.316	-13.900	-14.742	-13.752	-14.741	-14.781	-14.792	-13.972	-14.471	-13.259	-14.872	-13.851	-13.836	-14.223	-14.757	-13.920	-14.871	-14.013	-14.164	-13.773	-14.103	-13.381	-13.914	-14.831	-14.466	-14.844	-14.574	-14.565	-14.642	-13.978	-13.314	-14.883	-14.014	-14.719	-14.611	-13.780	-14.845	-14.582	-12.553	-14.403	-14.949	-13.957	-12.484	-14.546	-13.491	-14.927	-14.695	-13.600	-14.597	-14.568	-14.579	-12.837	-14.521	-14.330	-14.314	-14.439	-13.258	-14.318	-14.803	-14.170	-14.745	-12.856	-14.466	-12.565	-13.866	-14.844	-13.920	-13.891	-15.084	-14.625	-11.370	-13.865	-14.522	-13.711	-14.831	-12.921	-13.901	-14.607	-12.589	-13.557	-14.833	-14.318	-12.455	-14.843	-14.580	-11.370	-14.239	-14.979	-12.485	-15.118	-14.532	-14.476	-14.746	-14.766	-14.014	-14.421	-14.585	-14.847	-14.609	-14.300	-14.507	-13.557	-14.508	-14.464	-14.485	-14.475	-14.442	-13.984	-14.810	-14.580	-12.837	-13.817	-14.913	-14.569	-13.847	-14.222	-14.472	-14.746	-14.050	-14.225	-14.757	-13.127	-14.916	-14.589	-13.324	-14.884	-14.637	-14.582	-12.811	-14.563	-13.903	-14.381	-14.620	-14.808	-14.810	-14.050	-14.848	-14.260	-14.216	-14.102	-14.471	-14.136	-14.757	-14.014	-14.729	-14.599	-13.581	-14.832	-12.247	-14.067	-14.594	-14.525	-14.016	-12.699	-14.599	-14.105	-14.994	-14.303	-14.520	-14.115	-13.637	-14.809	-12.811	-14.838	-14.610	-12.920	-14.239	-13.020	-13.889	-14.862	-14.117	-13.637	-14.821	-14.613	-14.507	-13.717	-14.254	-14.747	-14.830	-13.894	-14.865	-14.811	-14.202	-14.500	-14.481	-14.612	-14.285	-14.699	-14.389	-13.607	-13.354	-14.873	-14.600	-13.946	-14.992	-13.962	-13.636	-14.784	-13.969	-14.165	-14.160	-14.764	-14.808	-14.599	-14.000	-14.040	-15.085	-14.303	-14.396	-14.843	-14.848	-13.961	-13.891	-14.172	-13.892	-14.866	-14.811	-14.799	-14.235	-14.463	-14.589	-13.850	-14.561	-14.622	-14.138	-14.756	-13.971	-14.743	-12.811	-13.858	-14.206	-12.604	-14.881	-14.678	-14.694	-14.275	-13.877	-14.773	-14.798	-13.979	-14.770	-10.690	-14.502	-13.899	-14.492	-14.619	-14.734	-14.599	-14.675	-13.987	-14.650	-14.768	-14.235	-14.166	-14.216	-14.687	-13.916	-12.485	-14.900	-12.645	-14.858	-14.353	-14.622	-14.768	-12.423	-14.207	-14.718	-14.020	-14.498	-14.689	-13.969	-14.762	-14.323	-14.578	-14.635	-13.125	-14.624	-14.727	-12.447	-14.547	-13.492	-14.817	-14.611	-13.639	-14.809	-12.825	-11.821	-14.803	
I 2	-inf	-16.025	-16.030	-18.215	-18.216	-19.176	-19.176	-18.983	-18.819	-18.482	-18.481	-18.819	-18.819	-19.176	-18.983	-18.763	-18.983	-18.763	-18.840	-18.394	-18.751	-18.681	-19.176	-18.389	-18.989	-18.983	-18.751	-18.394	-18.476	-18.482	-18.751	-18.819	-18.983	-18.989	-19.176	-18.920	-18.346	-18.763	-18.428	-18.389	-18.481	-18.346	-18.819	-19.176	-18.481	-18.751	-18.389	-18.840	-18.983	-18.394	-16.032	-18.681	-18.681	-18.482	-18.476	-19.094	-18.216	-18.983	-18.428	-18.428	-18.983	-18.416	-18.389	-16.032	-18.394	-18.389	-18.416	-18.681	-18.681	-19.176	-18.819	-18.840	-18.751	-16.032	-18.840	-18.681	-19.094	-18.983	-18.394	-18.476	-18.989	-18.482	-16.032	-19.176	-18.920	-18.681	-18.983	-16.032	-18.428	-18.476	-16.032	-18.416	-18.983	-18.346	-18.416	-19.094	-18.389	-16.032	-19.176	-18.751	-18.482	-19.094	-18.482	-18.763	-18.681	-18.840	-18.481	-18.751	-18.216	-18.428	-18.482	-18.481	-18.216	-18.346	-18.983	-18.216	-18.389	-18.763	-18.681	-18.681	-18.989	-18.389	-16.032	-18.394	-18.989	-18.428	-18.389	-18.989	-18.751	-18.681	-18.840	-18.989	-18.751	-18.394	-19.176	-18.346	-18.840	-19.176	-18.481	-18.394	-16.032	-18.481	-18.389	-18.476	-18.416	-18.840	-18.840	-18.840	-18.989	-18.394	-18.216	-18.681	-18.751	-18.681	-18.819	-18.481	-18.751	-18.481	-18.389	-18.983	-16.032	-18.819	-18.476	-18.481	-18.763	-18.989	-19.094	-18.681	-18.751	-18.482	-18.216	-18.840	-18.476	-18.920	-16.032	-18.481	-18.482	-16.032	-18.428	-18.216	-19.176	-18.983	-18.840	-18.476	-18.920	-18.394	-18.840	-18.681	-18.983	-18.819	-18.389	-18.482	-18.989	-18.840	-18.840	-18.819	-18.681	-18.416	-18.346	-18.681	-18.481	-18.416	-18.920	-19.176	-18.389	-18.346	-18.751	-18.482	-18.476	-18.920	-18.389	-18.751	-18.819	-18.751	-18.346	-18.482	-18.389	-18.819	-18.989	-18.482	-18.216	-18.763	-18.428	-18.482	-18.476	-18.989	-18.476	-18.989	-18.840	-18.840	-18.346	-18.216	-18.389	-18.394	-18.989	-18.681	-18.763	-18.751	-18.394	-18.751	-16.032	-18.481	-18.989	-18.751	-19.094	-18.394	-18.428	-18.428	-18.216	-18.751	-18.840	-18.346	-18.819	-16.032	-19.094	-18.216	-18.819	-18.681	-18.763	-18.481	-18.389	-18.428	-18.751	-18.763	-18.346	-18.216	-18.216	-18.681	-18.389	-18.476	-19.094	-18.840	-19.094	-18.481	-18.681	-18.763	-18.346	-19.094	-18.476	-18.428	-18.819	-18.681	-18.389	-18.751	-18.346	-18.416	-18.481	-18.394	-19.176	-18.681	-18.394	-19.094	-18.216	-18.983	-18.481	-18.481	-18.920	-16.032	-16.032	-18.983	-inf	
