[0] x: 16	 y: (3, 4)
[1] x: 17	 y: (2, 4)
[2] x: 18	 y: (1, 4)
[3] x: 19	 y: (0, 4)
[4] x: 20	 y: (0, 4)
[5] x: 21	 y: (0, 5)
[6] x: 22	 y: (0, 6)
[7] x: 23	 y: (0, 6)
[8] x: 24	 y: (0, 8)
[9] x: 25	 y: (0, 8)
[10] x: 26	 y: (0, 8)
[11] x: 27	 y: (0, 10)
[12] x: 28	 y: (0, 10)
[13] x: 29	 y: (0, 11)
[14] x: 30	 y: (0, 11)
[15] x: 30	 y: (12, 13)
[16] x: 31	 y: (0, 13)
[17] x: 32	 y: (0, 14)
[18] x: 33	 y: (0, 14)
[19] x: 34	 y: (0, 15)
[20] x: 34	 y: (16, 17)
[21] x: 35	 y: (0, 17)
[22] x: 35	 y: (18, 19)
[23] x: 36	 y: (0, 20)
[24] x: 37	 y: (0, 20)
[25] x: 38	 y: (1, 21)
[26] x: 39	 y: (1, 21)
[27] x: 40	 y: (2, 21)
[28] x: 41	 y: (3, 21)
[29] x: 42	 y: (2, 22)
[30] x: 43	 y: (4, 22)
[31] x: 43	 y: (27, 28)
[32] x: 44	 y: (5, 22)
[33] x: 44	 y: (26, 29)
[34] x: 45	 y: (6, 22)
[35] x: 45	 y: (25, 29)
[36] x: 46	 y: (6, 23)
[37] x: 46	 y: (24, 29)
[38] x: 47	 y: (6, 29)
[39] x: 48	 y: (7, 29)
[40] x: 49	 y: (9, 33)
[41] x: 50	 y: (10, 32)
[42] x: 51	 y: (14, 32)
[43] x: 52	 y: (17, 35)
[44] x: 53	 y: (17, 34)
[45] x: 54	 y: (18, 35)
[46] x: 55	 y: (18, 37)
[47] x: 56	 y: (18, 36)
[48] x: 57	 y: (17, 37)
[49] x: 58	 y: (17, 39)
[50] x: 59	 y: (16, 39)
[51] x: 59	 y: (59, 60)
[52] x: 60	 y: (18, 40)
[53] x: 60	 y: (58, 60)
[54] x: 61	 y: (18, 41)
[55] x: 61	 y: (57, 60)
[56] x: 62	 y: (19, 42)
[57] x: 62	 y: (56, 60)
[58] x: 63	 y: (21, 43)
[59] x: 63	 y: (55, 60)
[60] x: 63	 y: (61, 62)
[61] x: 64	 y: (22, 43)
[62] x: 64	 y: (54, 62)
[63] x: 65	 y: (23, 44)
[64] x: 65	 y: (53, 62)
[65] x: 66	 y: (24, 44)
[66] x: 66	 y: (52, 62)
[67] x: 67	 y: (25, 44)
[68] x: 67	 y: (51, 62)
[69] x: 68	 y: (25, 45)
[70] x: 68	 y: (50, 62)
[71] x: 69	 y: (26, 46)
[72] x: 69	 y: (49, 62)
[73] x: 70	 y: (26, 47)
[74] x: 70	 y: (48, 62)
[75] x: 71	 y: (26, 62)
[76] x: 72	 y: (26, 62)
[77] x: 73	 y: (27, 62)
[78] x: 74	 y: (27, 62)
[79] x: 75	 y: (27, 62)
[80] x: 76	 y: (27, 62)
[81] x: 77	 y: (27, 62)
[82] x: 78	 y: (27, 62)
[83] x: 79	 y: (27, 62)
[84] x: 80	 y: (27, 62)
[85] x: 81	 y: (27, 62)
[86] x: 82	 y: (27, 62)
[87] x: 83	 y: (27, 62)
[88] x: 84	 y: (27, 62)
[89] x: 85	 y: (27, 64)
[90] x: 86	 y: (27, 67)
[91] x: 87	 y: (27, 67)
[92] x: 88	 y: (27, 68)
[93] x: 89	 y: (27, 70)
[94] x: 90	 y: (27, 71)
[95] x: 91	 y: (27, 42)
[96] x: 91	 y: (43, 72)
[97] x: 92	 y: (27, 41)
[98] x: 92	 y: (44, 73)
[99] x: 93	 y: (27, 39)
[100] x: 93	 y: (44, 74)
[101] x: 94	 y: (27, 38)
[102] x: 94	 y: (45, 76)
[103] x: 95	 y: (27, 35)
[104] x: 95	 y: (36, 37)
[105] x: 95	 y: (45, 75)
[106] x: 96	 y: (27, 34)
[107] x: 96	 y: (46, 76)
[108] x: 97	 y: (27, 33)
[109] x: 97	 y: (47, 76)
[110] x: 98	 y: (27, 32)
[111] x: 98	 y: (49, 76)
[112] x: 99	 y: (27, 31)
[113] x: 99	 y: (50, 76)
[114] x: 100	 y: (28, 30)
