##### DP MATRIX ##### 
XDIM	24	15

#	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
M 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 1	-inf	12.050	8.522	7.861	5.146	1.918	-1.876	-3.962	-4.042	-4.488	-5.158	-7.779	-6.520	-6.221	-4.740	-4.387	
I 1	-inf	11.456	11.589	11.069	8.539	5.319	1.442	-1.318	-0.938	-1.987	-2.630	-5.153	-4.983	-4.680	-4.795	-inf	
D 1	-inf	11.590	6.978	5.752	0.994	-2.603	-4.381	-4.769	-5.287	-5.237	-5.947	-6.752	-5.919	-5.305	-4.583	-4.387	

M 2	-inf	8.002	12.950	8.500	5.926	2.692	-0.852	-2.822	-3.017	-4.098	-5.191	-4.772	-6.661	-5.347	-5.170	-4.367	
I 2	-inf	6.383	12.353	11.837	9.311	6.091	2.213	-0.567	-0.173	-1.242	-1.884	-4.401	-4.315	-4.010	-4.881	-inf	
D 2	-inf	11.539	12.487	5.500	2.026	-1.602	-2.369	-3.435	-4.148	-5.182	-5.901	-5.080	-5.889	-5.138	-4.779	-4.367	

M 3	-inf	6.957	7.874	13.205	6.692	3.462	-0.354	-1.020	-2.426	-2.849	-4.336	-6.585	-3.465	-6.037	-4.494	-4.348	
I 3	-inf	3.826	4.174	12.608	10.083	6.863	2.977	0.164	0.586	-0.484	-1.113	-4.087	-3.576	-3.373	-4.629	-inf	
D 3	-inf	10.833	11.787	12.742	2.594	-1.024	-2.123	-1.526	-3.548	-3.651	-5.342	-4.745	-3.840	-5.230	-4.427	-4.348	

M 4	-inf	4.200	5.171	6.106	11.452	4.251	0.596	-1.514	0.511	-2.308	-3.631	-5.322	-5.446	-2.136	-5.524	-4.328	
I 4	-inf	0.184	1.533	1.960	10.855	7.636	3.748	0.770	1.349	0.254	-0.344	-3.338	-3.739	-2.620	-4.837	-inf	
D 4	-inf	8.125	9.080	10.034	10.989	0.480	-0.793	-0.741	0.002	-3.231	-4.887	-4.242	-3.456	-2.563	-4.889	-4.328	

M 5	-inf	0.815	1.747	2.698	3.744	9.004	1.299	-0.737	-0.909	-1.998	-1.898	-4.753	-5.344	-5.847	-4.586	-4.308	
I 5	-inf	-2.700	-2.440	-1.631	0.975	8.408	4.515	1.505	1.868	1.001	0.426	-2.622	-3.039	-4.063	-4.380	-inf	
D 5	-inf	4.723	5.678	6.633	7.588	8.541	-0.639	-1.323	-1.946	-2.904	-2.718	-5.180	-5.452	-5.137	-4.462	-4.308	

M 6	-inf	-3.160	-2.165	-1.209	0.044	1.862	5.871	-0.037	-0.037	-1.307	-2.117	-2.226	-4.560	-5.511	-5.748	-4.288	
I 6	-inf	-4.075	-4.375	-3.444	-1.365	1.005	5.284	2.236	2.624	1.765	1.161	-1.898	-2.305	-3.367	-4.194	-inf	
D 6	-inf	0.680	1.634	2.587	3.540	4.488	5.408	-0.589	-1.043	-2.742	-3.322	-2.681	-5.058	-5.379	-4.930	-4.288	

M 7	-inf	-5.041	-4.270	-3.251	-1.765	-0.830	2.053	3.562	0.753	-0.541	-1.463	-2.978	-1.191	-5.267	-5.728	-4.268	
I 7	-inf	-3.451	-4.945	-4.147	-2.429	-1.578	1.455	2.969	3.375	2.529	1.931	-1.613	-1.573	-2.642	-3.541	-inf	
D 7	-inf	-2.050	-1.110	-0.170	0.768	1.684	2.599	3.113	-0.231	-2.079	-3.171	-2.287	-1.649	-5.379	-4.910	-4.268	

M 8	-inf	-5.338	-4.598	-4.038	-2.440	-1.921	-0.604	-0.277	4.721	0.281	-0.696	-4.194	-2.066	-1.540	-5.760	-4.249	
I 8	-inf	-2.733	-5.075	-4.950	-3.365	-3.079	-1.628	-1.933	4.125	3.294	2.703	-0.969	-2.428	-1.891	-2.831	-inf	
D 8	-inf	-2.344	-1.394	-0.453	0.497	1.430	2.375	3.310	4.260	-1.232	-3.670	-2.963	-2.029	-1.988	-4.904	-4.249	

M 9	-inf	-4.727	-5.881	-4.585	-3.903	-2.944	-2.363	-1.429	-0.388	4.654	0.183	-3.551	-5.767	-4.206	-1.612	-4.229	
I 9	-inf	-1.968	-4.929	-4.723	-4.858	-3.926	-4.255	-3.455	-2.182	4.058	3.475	-0.199	-3.173	-2.623	-2.087	-inf	
D 9	-inf	-3.327	-2.439	-1.490	-0.551	0.394	1.338	2.290	3.242	4.192	-2.361	-4.610	-3.767	-2.850	-2.032	-4.229	

M 10	-inf	-0.634	-6.425	-5.788	-5.067	-3.534	-3.357	-2.415	-1.460	-0.499	4.842	-2.761	-4.660	-5.103	-3.287	-4.209	
I 10	-inf	-1.210	-4.229	-4.394	-5.142	-4.296	-5.256	-4.914	-4.122	-4.298	4.245	0.572	-2.419	-1.945	-3.475	-inf	
D 10	-inf	-1.053	-3.232	-2.283	-1.332	-0.380	0.560	1.515	2.470	3.425	4.379	-5.024	-4.739	-4.425	-3.535	-4.209	

M 11	-inf	-6.763	-3.538	-6.794	-6.629	-5.988	-4.092	-5.684	-4.744	-4.306	-3.308	1.939	-3.979	-3.993	-5.901	-4.189	
I 11	-inf	-4.285	-3.471	-3.655	-4.478	-4.582	-4.620	-4.323	-3.572	-5.282	-5.240	1.343	-1.688	-1.177	-3.789	-inf	
D 11	-inf	-4.860	-3.953	-5.738	-4.826	-3.938	-3.044	-2.326	-1.379	-0.431	0.523	1.477	-4.491	-4.806	-4.895	-4.189	

M 12	-inf	-2.956	-6.047	-2.943	-6.640	-6.851	-5.694	-3.115	-5.816	-5.536	-5.483	-4.036	-0.414	-3.772	-4.523	-4.169	
I 12	-inf	-3.536	-3.404	-2.887	-3.746	-3.915	-6.072	-3.598	-2.861	-4.615	-5.055	-4.561	-0.954	-0.419	-3.083	-inf	
D 12	-inf	-3.272	-4.300	-3.394	-5.988	-5.166	-4.245	-3.437	-4.485	-3.582	-2.702	-1.773	-0.873	-5.157	-4.365	-4.169	

M 13	-inf	-6.440	-2.057	-5.684	-3.246	-6.358	-6.744	-4.374	-1.569	-5.753	-5.957	-4.996	-2.438	0.935	-5.346	-4.150	
I 13	-inf	-6.734	-2.649	-2.831	-2.985	-3.150	-6.653	-5.026	-2.097	-4.037	-4.553	-5.232	-3.051	0.352	-2.448	-inf	
D 13	-inf	-3.405	-2.468	-4.473	-3.592	-4.642	-3.697	-2.759	-1.925	-3.235	-2.311	-1.358	-0.407	0.474	-4.711	-4.150	

M 14	-inf	-6.009	-5.966	-1.481	-5.456	-5.721	-8.354	-7.178	-3.438	-4.020	-5.321	-6.951	-6.065	-2.632	-1.513	-4.130	
I 14	-inf	-6.542	-6.970	-2.070	-2.745	-2.380	-6.224	-7.628	-3.997	-3.326	-3.799	-4.656	-4.367	-3.129	-1.706	-inf	
D 14	-inf	-3.775	-2.877	-1.939	-6.205	-6.398	-5.527	-4.587	-3.668	-4.270	-4.768	-4.176	-3.236	-2.300	-1.933	-4.130	

M 15	-inf	-6.538	-7.022	-5.290	-1.396	-4.969	-8.094	-7.809	-5.958	-2.287	-3.886	-6.316	-6.190	-5.232	-1.493	-4.110	
I 15	-inf	-7.263	-8.328	-6.142	-1.992	-1.608	-5.479	-7.890	-6.418	-2.855	-3.133	-3.905	-3.648	-4.568	-2.035	-inf	
D 15	-inf	-4.587	-3.713	-2.769	-1.854	-6.281	-5.454	-4.512	-3.568	-2.660	-4.142	-4.647	-3.759	-2.825	-1.913	-4.110	

M 16	-inf	-8.421	-7.493	-6.540	-5.464	-0.240	-7.576	-7.896	-7.057	-5.033	-2.101	-4.766	-5.184	-5.664	-4.369	-4.090	
I 16	-inf	-11.910	-11.549	-10.670	-7.985	-0.837	-4.719	-7.445	-6.824	-5.607	-2.642	-3.160	-2.892	-4.034	-4.177	-inf	
D 16	-inf	-4.519	-3.564	-2.610	-1.655	-0.702	-6.126	-5.225	-4.301	-3.373	-2.533	-5.029	-5.259	-4.920	-4.245	-4.090	

M 17	-inf	-12.308	-11.283	-10.334	-9.008	-7.102	-3.374	-8.249	-7.208	-7.110	-4.181	-2.040	-4.427	-5.346	-5.530	-4.070	
I 17	-inf	-14.555	-13.278	-12.337	-10.241	-7.892	-3.957	-6.952	-6.402	-7.022	-4.764	-2.485	-2.158	-3.353	-4.003	-inf	
D 17	-inf	-8.502	-7.549	-6.597	-5.645	-4.700	-3.791	-5.923	-5.012	-4.113	-3.177	-2.472	-4.905	-5.161	-4.712	-4.070	

M 18	-inf	-14.018	-13.071	-12.055	-10.607	-9.692	-6.842	-5.683	-7.440	-7.347	-6.564	-3.032	-0.979	-5.141	-5.510	-4.051	
I 18	-inf	-15.122	-14.190	-13.230	-11.389	-10.551	-7.455	-6.291	-5.842	-6.610	-6.888	-3.657	-1.425	-2.640	-3.353	-inf	
D 18	-inf	-10.667	-9.722	-8.777	-7.834	-6.907	-5.979	-5.321	-4.931	-4.008	-3.062	-2.113	-1.436	-5.161	-4.692	-4.051	

M 19	-inf	-14.881	-13.609	-13.019	-11.412	-10.852	-9.566	-9.185	-4.540	-7.804	-7.194	-6.415	-2.005	-1.327	-5.542	-4.031	
I 19	-inf	-15.771	-14.904	-14.634	-12.463	-12.150	-10.655	-10.950	-5.142	-5.950	-6.428	-7.592	-2.604	-1.894	-2.644	-inf	
