##### DP MATRIX ##### 
XDIM	21	15

XTRACE
M_ST	4	4
M_ST	5	5
M_ST	6	6
M_ST	7	7
M_ST	8	8
M_ST	9	9
M_ST	10	10
M_ST	11	11
M_ST	12	12
M_ST	13	13
M_ST	14	14
M_ST	15	15
/

##### NORMAL STATES #####
XMATRIX
#	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
M 0	-inf	4.215	2.539	1.782	-0.899	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 0	-inf	5.570	5.577	5.051	2.519	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 0	-inf	3.662	1.016	-0.651	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 1	-inf	6.802	3.275	2.613	-0.102	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 1	-inf	6.208	6.341	5.821	3.291	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 1	-inf	6.343	1.730	0.504	-4.282	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 2	-inf	2.754	7.702	3.252	0.678	-2.574	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 2	-inf	1.135	7.106	6.589	4.063	0.843	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 2	-inf	6.291	7.240	0.252	-3.232	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 3	-inf	1.709	2.626	7.957	1.444	-1.786	-inf	-inf	-7.821	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 3	-inf	-1.422	-1.074	7.360	4.835	1.616	-inf	-inf	-4.671	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 3	-inf	5.586	6.540	7.494	-2.655	-6.405	-inf	-inf	-9.718	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 4	-inf	-1.049	-0.077	0.858	6.204	-0.996	-4.648	-6.753	-4.773	-8.051	-9.036	-inf	-inf	-inf	-inf	-inf	
I 4	-inf	-5.116	-3.723	-3.273	5.607	2.388	-1.497	-4.473	-3.904	-5.003	-5.619	-inf	-inf	-inf	-inf	-inf	
D 4	-inf	2.877	3.832	4.786	5.741	-4.761	-6.050	-6.026	-5.295	-9.673	-inf	-inf	-inf	-inf	-inf	-inf	

M 5	-inf	-inf	-3.527	-2.549	-1.487	3.756	-3.941	-5.975	-6.143	-7.285	-8.263	-inf	-inf	-inf	-inf	-inf	
I 5	-inf	-inf	-inf	-6.938	-4.138	3.160	-0.730	-3.738	-3.376	-4.238	-4.846	-inf	-inf	-inf	-inf	-inf	
D 5	-inf	-inf	0.430	1.385	2.340	3.293	-5.857	-6.573	-7.252	-8.902	-inf	-inf	-inf	-inf	-inf	-inf	

M 6	-inf	-inf	-inf	-inf	-5.184	-3.247	0.623	-5.248	-5.273	-6.530	-7.491	-inf	-inf	-inf	-inf	-inf	
I 6	-inf	-inf	-inf	-inf	-6.575	-4.065	0.038	-3.008	-2.620	-3.474	-4.074	-inf	-inf	-inf	-inf	-inf	
D 6	-inf	-inf	-inf	-inf	-1.701	-0.753	0.161	-5.796	-6.286	-8.168	-inf	-inf	-inf	-inf	-inf	-inf	

M 7	-inf	-inf	-inf	-inf	-6.955	-6.040	-3.012	-1.686	-4.443	-5.771	-6.647	-inf	-inf	-inf	-inf	-inf	
I 7	-inf	-inf	-inf	-inf	-7.645	-6.797	-3.609	-2.277	-1.869	-2.709	-3.301	-inf	-inf	-inf	-inf	-inf	
D 7	-inf	-inf	-inf	-inf	-4.411	-3.494	-2.578	-2.134	-5.398	-7.388	-9.769	-inf	-inf	-inf	-inf	-inf	

M 8	-inf	-inf	-inf	-inf	-7.686	-7.114	-5.823	-5.339	-0.527	-4.877	-5.903	-8.114	-6.785	-inf	-inf	-inf	
I 8	-inf	-inf	-inf	-inf	-8.687	-8.296	-6.826	-6.694	-1.121	-1.945	-2.530	-5.644	-5.413	-inf	-inf	-inf	
D 8	-inf	-inf	-inf	-inf	-4.745	-3.812	-2.868	-1.934	-0.988	-6.236	-8.458	-7.937	-7.368	-inf	-inf	-inf	

M 9	-inf	-inf	-inf	-inf	-9.430	-8.191	-7.498	-6.634	-5.132	-0.593	-4.829	-7.868	-8.005	-9.032	-inf	-inf	
I 9	-inf	-inf	-inf	-inf	-11.317	-9.563	-9.294	-8.380	-6.223	-1.184	-1.758	-4.900	-4.773	-5.615	-inf	-inf	
D 9	-inf	-inf	-inf	-inf	-5.791	-4.841	-3.896	-2.946	-1.994	-1.055	-6.477	-9.185	-10.224	-inf	-inf	-inf	

M 10	-inf	-inf	-inf	-inf	-inf	-9.565	-8.610	-7.268	-6.560	-4.547	-0.406	-6.862	-7.138	-8.260	-inf	-inf	
I 10	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-8.992	-8.057	-5.443	-0.993	-4.138	-4.005	-4.842	-inf	-inf	
D 10	-inf	-inf	-inf	-inf	-inf	-5.608	-4.653	-3.697	-2.748	-1.795	-0.869	-7.867	-8.982	-inf	-inf	-inf	

M 11	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-7.021	-7.758	-4.310	-3.309	-6.240	-7.487	-inf	-inf	
I 11	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-7.675	-7.772	-4.881	-3.384	-3.238	-4.070	-inf	-inf	
D 11	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-5.764	-4.994	-4.066	-3.778	-7.764	-inf	-inf	-inf	

M 12	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-6.824	-6.632	-2.905	-5.675	-6.715	-inf	-inf	
I 12	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-7.482	-7.359	-3.493	-2.475	-3.297	-inf	-inf	
D 12	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-5.115	-4.269	-3.363	-7.756	-inf	-inf	-inf	

M 13	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-6.860	-8.071	-7.131	-5.949	-1.110	-5.942	-inf	-inf	
I 13	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-7.545	-9.984	-9.075	-7.425	-1.707	-2.525	-inf	-inf	
D 13	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-5.253	-4.421	-3.471	-2.520	-1.573	-inf	-inf	-inf	

M 14	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-9.396	-8.441	-7.486	-6.531	-1.155	-inf	-inf	
I 14	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-1.752	-inf	-inf	
D 14	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-5.439	-4.484	-3.529	-2.573	-1.618	-inf	-inf	

M 15	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	0.000	-inf	
I 15	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 15	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 16	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 16	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 16	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 17	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 17	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 17	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 18	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 18	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 18	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 19	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 19	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 19	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 20	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 20	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 20	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 21	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 21	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 21	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

/

###### SPECIAL STATES #####
XSPECIAL
N	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
J	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
E	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
C	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
B	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
/
