##### DP MATRIX ##### 
XDIM	595	183

##### NORMAL STATES #####
XMATRIX
#	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	
M 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 1	-inf	-13.229	-13.503	-14.585	-14.705	-13.566	-14.577	-14.033	-12.601	-13.482	-14.727	-12.797	-12.749	-12.686	-13.733	-14.019	-13.859	-13.559	-12.662	-14.433	-13.827	-15.741	-11.504	-14.733	-16.116	-14.526	-14.108	-13.889	-13.835	-13.568	-12.441	-14.148	-14.527	-14.773	-14.126	-14.108	-14.217	-14.070	-14.033	-12.376	-14.523	-13.379	-13.420	-14.720	-13.937	-14.009	-13.388	-13.226	-14.469	-14.491	-13.753	-14.729	-13.761	-13.990	-13.205	-14.168	-14.155	-13.930	-13.277	-14.223	-14.197	-13.861	-13.797	-13.614	-13.895	-13.890	-13.738	-13.940	-14.677	-13.986	-14.200	-13.952	-14.716	-13.176	-14.722	-10.067	-14.267	-13.468	-14.732	-11.639	-13.917	-13.054	-13.166	-13.736	-13.369	-12.448	-13.088	-13.753	-15.250	-14.725	-10.059	-14.236	-10.292	-14.180	-13.750	-12.406	-14.682	-14.424	-14.702	-14.103	-14.734	-14.228	-14.228	-13.771	-13.183	-13.518	-14.361	-14.712	-13.691	-13.991	-14.428	-12.917	-13.323	-12.992	-13.035	-13.280	-13.587	-14.556	-13.510	-14.435	-13.798	-13.683	-12.837	-14.316	-13.864	-14.516	-14.499	-12.628	-14.051	-12.848	-13.671	-13.569	-13.604	-14.083	-14.021	-14.024	-14.338	-14.199	-13.575	-13.493	-14.737	-13.680	-13.504	-13.468	-14.484	-13.813	-13.847	-12.927	-13.489	-13.393	-14.514	-14.737	-14.734	-14.464	-13.215	-12.947	-10.398	-16.498	-14.649	-14.727	-14.707	-14.722	-14.015	-13.773	-13.928	-14.721	-13.245	-12.959	-14.813	-14.519	-12.818	-12.926	-13.443	-13.829	-13.680	-14.277	-13.764	-13.587	-14.366	-14.720	-13.482	-14.602	-13.124	-14.108	
I 1	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	0.000	
D 1	-inf	-inf	-19.151	-18.733	-19.700	-20.642	-20.092	-21.035	-20.559	-18.392	-19.364	-20.320	-19.324	-19.276	-19.213	-20.168	-18.292	-19.137	-17.738	-18.824	-17.266	-18.530	-19.485	-18.031	-18.986	-19.941	-18.133	-15.696	-16.423	-16.314	-17.635	-18.516	-19.299	-20.239	-21.197	-20.651	-20.633	-18.840	-19.762	-19.982	-18.597	-19.492	-19.899	-19.939	-19.670	-18.966	-19.979	-19.914	-19.752	-20.690	-21.017	-20.279	-16.691	-15.901	-17.369	-14.141	-15.701	-16.754	-17.561	-18.323	-15.195	-15.775	-15.339	-16.171	-15.271	-15.647	-16.164	-15.395	-17.039	-17.996	-18.505	-18.544	-19.427	-20.451	-19.703	-20.658	-16.594	-17.549	-18.504	-16.782	-17.200	-16.963	-15.403	-15.930	-17.373	-18.188	-18.024	-18.858	-19.912	-20.867	-21.253	-16.586	-17.541	-16.819	-17.774	-18.712	-18.932	-19.898	-20.853	-21.230	-20.630	-15.765	-16.309	-15.283	-16.343	-16.692	-15.189	-15.923	-16.332	-16.712	-17.290	-18.591	-19.382	-18.778	-19.493	-18.362	-17.584	-14.752	-15.656	-15.008	-15.445	-17.227	-15.861	-17.266	-18.152	-19.038	-16.213	-17.470	-16.921	-17.878	-18.637	-14.810	-16.515	-15.337	-16.719	-17.472	-18.305	-15.892	-17.737	-18.397	-19.392	-20.348	-19.747	-16.787	-17.733	-16.369	-15.968	-15.154	-14.788	-15.500	-17.228	-18.094	-19.109	-20.064	-20.990	-19.741	-19.475	-16.925	-17.880	-18.835	-19.790	-20.745	-21.249	-18.683	-19.564	-20.446	-21.240	-19.764	-19.478	-20.360	-21.038	-19.337	-19.446	-18.044	-18.859	-19.675	-20.728	-20.291	-20.114	-20.894	-21.248	-17.693	-18.679	-19.649	

M 2	-inf	-12.642	-12.586	-14.987	-14.402	-13.018	-14.933	-14.398	-12.873	-12.315	-14.916	-13.896	-12.295	-12.166	-12.636	-14.685	-14.281	-12.822	-14.064	-13.826	-13.869	-15.587	-13.693	-12.855	-15.324	-14.314	-13.389	-13.732	-13.568	-13.635	-13.006	-13.854	-14.846	-15.102	-13.640	-13.644	-14.007	-13.610	-14.146	-12.866	-13.201	-13.672	-12.681	-14.746	-13.052	-13.421	-13.218	-13.139	-14.660	-14.700	-14.034	-14.363	-13.500	-14.074	-13.338	-13.417	-13.649	-12.992	-13.291	-14.139	-13.579	-13.461	-13.711	-13.490	-13.498	-13.547	-13.752	-13.657	-14.854	-13.540	-13.228	-13.797	-14.935	-13.499	-14.448	-16.393	-10.809	-12.915	-14.858	-14.249	-11.050	-13.425	-13.313	-13.127	-13.265	-13.831	-11.993	-14.426	-15.541	-15.053	-15.213	-11.352	-13.846	-10.507	-13.201	-13.621	-13.607	-14.527	-14.988	-14.540	-14.579	-14.127	-13.000	-13.946	-13.407	-12.921	-13.953	-14.387	-13.539	-13.898	-13.977	-13.190	-11.734	-13.058	-12.731	-12.696	-12.567	-14.493	-14.549	-13.729	-13.304	-13.749	-13.470	-14.066	-13.964	-14.821	-15.004	-13.797	-12.754	-13.798	-11.973	-14.240	-13.472	-13.697	-13.164	-13.345	-14.830	-13.752	-13.269	-13.271	-14.929	-13.391	-13.009	-13.287	-14.320	-13.369	-13.473	-13.591	-13.621	-13.325	-14.922	-15.069	-15.066	-14.472	-12.861	-13.119	-13.541	-13.330	-14.600	-15.059	-14.991	-15.046	-14.258	-13.283	-13.655	-15.051	-13.155	-12.657	-14.364	-14.577	-13.268	-12.192	-14.277	-13.775	-13.604	-15.044	-13.359	-13.409	-14.228	-15.036	-12.603	-13.549	-12.095	-14.234	
I 2	-inf	-19.034	-18.187	-18.707	-20.509	-19.370	-20.381	-19.837	-18.405	-19.284	-20.532	-14.760	-18.554	-18.491	-19.538	-17.867	-19.651	-17.775	-18.445	-20.238	-19.573	-21.546	-17.308	-20.538	-21.921	-16.327	-14.942	-15.310	-14.570	-19.183	-18.226	-19.941	-15.521	-20.573	-19.929	-19.911	-20.021	-19.867	-19.831	-18.174	-20.320	-19.176	-19.217	-20.517	-15.974	-15.900	-19.191	-19.029	-20.272	-20.294	-19.557	-18.673	-16.753	-15.530	-18.982	-19.449	-15.305	-19.702	-19.051	-16.385	-19.539	-14.577	-19.111	-19.271	-19.395	-19.388	-19.329	-19.553	-20.473	-15.316	-19.995	-19.740	-20.510	-18.981	-20.527	-15.872	-20.072	-19.273	-20.537	-17.308	-19.586	-15.441	-18.741	-18.641	-19.158	-18.234	-18.873	-19.542	-21.055	-20.530	-15.864	-20.041	-16.097	-19.985	-19.553	-18.209	-20.485	-20.229	-20.507	-19.908	-20.539	-19.594	-19.949	-14.308	-18.799	-19.130	-19.767	-18.616	-17.073	-15.213	-20.059	-18.693	-19.104	-18.770	-18.816	-19.058	-19.367	-19.965	-19.119	-19.798	-14.551	-19.469	-18.514	-20.113	-19.662	-17.251	-20.101	-18.372	-19.788	-18.628	-16.438	-18.989	-19.383	-19.669	-19.798	-19.788	-15.692	-18.030	-19.380	-19.291	-20.542	-19.483	-19.309	-19.236	-20.269	-14.535	-19.368	-13.793	-18.874	-15.560	-20.309	-20.532	-20.539	-20.268	-19.019	-18.752	-14.913	-22.303	-20.454	-20.532	-20.512	-20.527	-17.434	-17.994	-19.725	-20.518	-19.042	-18.756	-20.610	-20.316	-18.615	-18.723	-19.240	-19.617	-19.468	-18.674	-19.569	-19.392	-20.171	-20.525	-19.287	-20.393	-18.926	0.000	
