##### DP MATRIX ##### 
XDIM	24	15

#	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
M 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 0	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 1	-inf	-0.332	-0.040	-0.680	-1.134	-0.313	3.156	-0.332	-1.032	-0.313	-0.925	-0.040	-0.481	-8.925	-inf	-inf	
I 1	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 1	-inf	-inf	-5.244	-4.699	-4.930	-5.269	-4.911	-1.740	-2.620	-3.485	-4.064	-4.654	-4.534	-inf	-inf	-inf	

M 2	-inf	-1.377	-0.346	-0.491	0.715	-0.945	-0.792	1.800	-0.934	-0.891	0.780	-0.542	-1.106	-0.851	-10.170	-inf	
I 2	-inf	-4.521	-4.230	-4.870	-5.324	-4.503	-1.034	-4.521	-5.222	-4.503	-5.115	-4.230	-4.671	-13.114	-inf	-inf	
D 2	-inf	-inf	-6.289	-5.130	-4.994	-4.037	-4.641	-4.955	-3.053	-3.861	-4.499	-3.896	-4.415	-4.949	-inf	-inf	

M 3	-inf	-1.005	-0.683	0.299	-0.244	0.140	-0.625	-0.510	1.202	-0.612	-0.217	0.237	-0.854	-0.766	-1.823	-inf	
I 3	-inf	-4.728	-4.049	-4.357	-3.405	-4.510	-1.765	-2.337	-4.774	-4.480	-3.330	-4.165	-4.674	-5.041	-inf	-inf	
D 3	-inf	-inf	-5.918	-5.349	-4.444	-4.577	-4.388	-4.742	-4.857	-3.595	-4.230	-4.463	-4.286	-4.776	-inf	-inf	

M 4	-inf	-1.325	-0.428	-0.937	2.621	-0.598	-0.512	-0.841	-1.106	0.268	0.833	-0.141	-1.005	-0.962	-1.951	-inf	
I 4	-inf	-4.643	-4.153	-3.636	-3.604	-3.794	-2.440	-2.924	-2.913	-4.309	-3.549	-3.635	-4.531	-4.602	-inf	-inf	
D 4	-inf	-inf	-6.238	-5.194	-5.295	-2.272	-3.130	-3.852	-4.479	-4.991	-4.403	-3.834	-4.219	-4.784	-inf	-inf	

M 5	-inf	-0.091	-0.734	-0.055	-0.841	5.142	0.031	0.416	-0.622	2.778	-0.095	0.216	0.355	0.385	1.514	-inf	
I 5	-inf	-4.771	-4.066	-4.011	-1.510	-3.978	-3.009	-3.463	-3.503	-3.649	-3.034	-3.675	-4.554	-4.563	-inf	-inf	
D 5	-inf	-inf	-5.003	-5.097	-4.676	-4.997	0.232	-0.708	-1.606	-2.511	-1.900	-2.745	-3.386	-3.750	-inf	-inf	

M 6	-inf	-0.332	0.601	-0.287	-0.471	0.123	8.281	0.703	-0.001	0.197	1.895	0.657	0.337	0.680	0.063	-inf	
I 6	-inf	-4.032	-4.187	-3.785	-2.220	0.955	-3.259	-3.285	-3.815	-1.364	-3.324	-3.490	-3.632	-3.609	-inf	-inf	
D 6	-inf	-inf	-5.244	-4.170	-4.468	-4.710	-4.441	3.369	2.416	1.462	0.513	-0.369	-1.272	-2.136	-inf	-inf	

M 7	-inf	-inf	-0.631	0.219	-0.756	0.428	0.793	10.590	1.902	2.095	0.571	0.977	0.161	1.307	0.613	-inf	
I 7	-inf	-inf	-3.363	-3.823	-2.820	0.197	4.092	-3.039	-3.677	-1.991	-2.142	-3.139	-3.398	-3.160	-inf	-inf	
D 7	-inf	-inf	-inf	-5.544	-4.541	-4.885	-4.255	-3.829	5.678	4.723	3.769	2.815	1.863	0.911	-inf	-inf	

M 8	-inf	-inf	-1.169	-0.377	-0.517	0.315	0.687	5.897	9.431	5.144	3.324	2.214	1.590	2.181	1.553	-inf	
I 8	-inf	-inf	-3.727	-3.542	-3.363	-0.535	3.321	6.400	-2.179	-1.681	-2.512	-2.809	-3.404	-2.583	-inf	-inf	
D 8	-inf	-inf	-inf	-6.081	-5.129	-5.010	-4.370	-3.938	0.988	4.530	3.610	2.669	1.726	0.787	-inf	-inf	

M 9	-inf	0.387	-1.150	-0.360	-0.771	0.563	0.661	3.269	5.492	9.498	4.456	2.781	2.352	4.377	2.397	-inf	
I 9	-inf	-inf	-4.147	-3.739	-3.687	-1.234	2.550	5.647	5.241	0.987	-0.780	-1.792	-2.412	-1.777	-inf	-inf	
D 9	-inf	-inf	-4.525	-5.036	-4.875	-5.061	-4.176	-3.904	-1.604	0.622	4.593	3.654	2.707	1.765	-inf	-inf	

M 10	-inf	-1.406	1.737	-0.906	0.467	-0.747	0.723	0.876	3.700	4.697	9.310	5.830	1.997	1.544	3.268	-inf	
I 10	-inf	-3.803	-4.414	-3.837	-3.986	-1.826	1.783	4.878	4.510	5.314	0.416	-1.135	-1.606	0.250	-inf	-inf	
D 10	-inf	-inf	-6.318	-3.159	-3.947	-3.954	-4.522	-3.945	-3.684	-1.181	-0.079	4.402	3.524	2.573	-inf	-inf	

M 11	-inf	-inf	3.151	0.871	-0.211	0.142	0.435	0.819	2.953	3.687	4.824	12.214	4.675	2.365	1.783	-inf	
I 11	-inf	-inf	-2.390	-4.130	-3.419	-2.506	1.022	4.106	3.752	4.559	5.125	1.669	-1.588	-0.409	-inf	-inf	
D 11	-inf	-inf	-inf	-1.761	-2.480	-3.266	-3.765	-3.898	-3.709	-1.894	-1.045	0.049	7.302	6.348	-inf	-inf	

M 12	-inf	-inf	-1.396	2.582	-0.532	0.389	0.214	0.391	2.634	3.522	3.035	3.967	14.567	6.363	5.661	-inf	
I 12	-inf	-inf	-0.926	-3.132	-3.597	-2.898	0.267	3.334	2.994	3.800	4.376	8.025	0.541	-0.759	-inf	-inf	
D 12	-inf	-inf	-inf	-6.308	-2.323	-3.169	-3.611	-3.937	-3.996	-2.211	-1.234	-1.327	-0.712	9.655	-inf	-inf	

M 13	-inf	-inf	-0.878	-0.780	2.944	-0.722	-0.417	-0.301	1.339	2.012	4.294	3.286	5.665	13.217	8.004	-inf	
I 13	-inf	-inf	-1.678	-1.512	-3.837	-3.040	-0.475	2.564	2.244	3.052	3.612	7.253	10.377	2.197	-inf	-inf	
D 13	-inf	-inf	-inf	-5.790	-5.393	-1.956	-2.847	-3.606	-4.141	-3.376	-2.686	-0.571	-0.882	0.825	-inf	-inf	

M 14	-inf	-inf	-inf	-0.144	-0.727	5.445	0.016	0.610	1.164	4.755	2.058	3.559	6.394	9.842	15.664	-inf	
I 14	-inf	-inf	-inf	-2.218	-1.212	-3.525	-1.213	1.793	1.485	2.291	2.902	6.481	9.605	9.027	-inf	-inf	
D 14	-inf	-inf	-inf	-inf	-5.056	-5.115	0.534	-0.409	-1.313	-2.063	-0.102	-0.903	-0.881	1.518	-inf	-inf	

M 15	-inf	-inf	-inf	-inf	0.582	-0.640	5.093	-0.241	0.373	0.603	4.622	3.791	4.250	7.578	8.905	-inf	
I 15	-inf	-inf	-inf	-inf	-1.932	1.259	-1.879	1.030	0.736	-inf	2.144	5.710	8.834	8.326	-inf	-inf	
D 15	-inf	-inf	-inf	-inf	-inf	-4.330	-4.717	0.184	-0.759	-inf	-4.309	-0.283	-0.485	-0.284	-inf	-inf	

M 16	-inf	-inf	-inf	-inf	-0.063	-0.093	0.896	3.671	-0.385	-inf	-inf	5.499	3.626	6.754	7.195	-inf	
I 16	-inf	-inf	-inf	-inf	-2.365	0.492	0.931	0.267	-inf	-inf	-inf	4.943	8.062	7.569	-inf	-inf	
D 16	-inf	-inf	-inf	-inf	-inf	-4.975	-4.671	-3.834	-inf	-inf	-inf	-inf	0.587	-0.032	-inf	-inf	

M 17	-inf	-inf	-inf	-inf	-1.134	0.364	4.177	0.994	-inf	-inf	-inf	-inf	5.273	7.260	7.227	-inf	
I 17	-inf	-inf	-inf	-inf	-2.853	-0.263	0.190	-inf	-inf	-inf	-inf	-inf	7.289	-inf	-inf	-inf	
D 17	-inf	-inf	-inf	-inf	-inf	-6.046	-4.465	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 18	-inf	-inf	-inf	-inf	-inf	0.208	0.137	-inf	-inf	-inf	-inf	-inf	-inf	-inf	7.148	-inf	
I 18	-inf	-inf	-inf	-inf	-inf	-0.976	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 18	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-0.955	-inf	

M 19	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 19	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 19	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-0.955	-inf	

M 20	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
I 20	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
D 20	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	

M 21	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	-inf	
